otonomi	ve eğitim sonucu elde edilen çıktıların yüksek öğretim sektörünün hem içinde hem de dışında dağıtılması” olarak tanımlanmıştır. Yine bildirgede “Kurumsal	otonominin	akademik özgürlük için temel olduğu” vurgulanmıştır. AB düzeyinde “Bilimsel Araştırma Özgürlüğü hakkında Bonn Deklarasyonu, Bakanlar Konseyinin Ekim 2020 tarihli toplantısında
özerklik	Toplumun geleceğini şekillendirecek bu rollerin hakkıyla yapılabilmesi için yeni düzenlemelere ve politikalara ihtiyaç duyulmaktadır. Üniversitelerin misyonlarını yerine getirebilmeleri için kurumsal	özerkliğe	sahip olmaları gerektiği kabul edilir. Özerklik, hiçbir kural olmaması anlamına gelmez. Üniversitelerde görev yapan akademisyenlerin özgür, yönetimlerin ise özerk olması,
özerklik	yapılabilmesi için yeni düzenlemelere ve politikalara ihtiyaç duyulmaktadır. Üniversitelerin misyonlarını yerine getirebilmeleri için kurumsal özerkliğe sahip olmaları gerektiği kabul edilir.	Özerklik,	hiçbir kural olmaması anlamına gelmez. Üniversitelerde görev yapan akademisyenlerin özgür, yönetimlerin ise özerk olması, üniversitelerin temel özelliklerinin başında gelmektedir. Akademik
özerklik	edilen görüşlere ve ifadelere karşı görüşler de barışçıl bir şekilde ifade edilmeli ve tartışılmalıdır. Akademik özgürlüğün rahatça kullanılabilmesi için üniversite	özerkliği	elzemdir. Eğitim, öğretim, bilimsel araştırmalarda özgürlük ile eğitim, mali, yönetimsel, bilimsel ve personel kararlarında özerklik bu kapsamda değerlendirilir. Kaynak kullanımı
özerklik	özgürlüğün rahatça kullanılabilmesi için üniversite özerkliği elzemdir. Eğitim, öğretim, bilimsel araştırmalarda özgürlük ile eğitim, mali, yönetimsel, bilimsel ve personel kararlarında	özerklik	bu kapsamda değerlendirilir. Kaynak kullanımı bu bağlamda akademik kurumlar için bir tehdit unsuru olarak kullanılmamalıdır. Üniversite bütçeleri şeffaf bir şekilde
özerklik	Kaynak kullanımı bu bağlamda akademik kurumlar için bir tehdit unsuru olarak kullanılmamalıdır. Üniversite bütçeleri şeffaf bir şekilde dağıtılmalı ve izlenmelidir.	Özerklik	aynı zamanda üniversitelere, eğitim hakkının yerinde ve doğru kullanılması için görevler ve sorumluluklar da yüklemektedir. Bu bağlamda üniversiteler yönetimde, mali
özerklik	işlerde ve kararlarında şeffaf olmalı, eşit, adil ve mantıklı kararlar ile stabilizasyonu garanti etmeli, temel insan haklarının uygulanmasını sağlamalıdır. Üniversitelerin	özerkliği	ile devlet arasındaki ilişkiler her zaman tartışma konusu olmuştur. Birçok farklı uygulama olmakla beraber genellikle yasalar, üniversitelere sınırlı düzeyde özerklik
özerklik	özerkliği ile devlet arasındaki ilişkiler her zaman tartışma konusu olmuştur. Birçok farklı uygulama olmakla beraber genellikle yasalar, üniversitelere sınırlı düzeyde	özerklik	sağlar. Devlet üniversiteleri ile özel veya vakıf üniversiteleri arasında da bazı farklar bulunabilir. Hatta bazı ülkelerde her bir üniversite için
özerklik	arasında da bazı farklar bulunabilir. Hatta bazı ülkelerde her bir üniversite için ayrı bir kanun bile bulunabilir ve her birinin	özerkliği	de farklı olabilir. Aslında devlet ve özel üniversiteler arasında fark olmaması gerekirken özel üniversitelerin genellikle daha fazla özerkliği bulunduğu bir
özerklik	her birinin özerkliği de farklı olabilir. Aslında devlet ve özel üniversiteler arasında fark olmaması gerekirken özel üniversitelerin genellikle daha fazla	özerkliği	bulunduğu bir gerçektir. Üniversitelerle ilgili kalite standartlarını belirleyen ve kamu kaynaklarının verimli ve etkili kullanımını düzenleyen yasaların bulunması doğaldır. Programlara
özerklik	adalet ve dengeler gözetilerek yapılabilir. Akademik ve idari kadrolar konusunda ise ülkedeki çalışma hayatını düzenleyen yasalara uyulması zorunlu olabilir ve	özerkliğe	aykırı sayılmaz. Devletin önemli görevlerinden birisi de akademik özgürlüğü kısıtlayan, engelleyen kişi ve kurumlara karşı gerekli önlemleri almak ve gerektiğinde
özerklik	engelleyen kişi ve kurumlara karşı gerekli önlemleri almak ve gerektiğinde cezalandırmaktır. Ancak üniversitelere özel bazı düzenlemeler ve kısıtlamalar bulunuyor ise	özerkliğe	aykırı sayılabilir. Örneğin; bazı gruplara veya kişilere karşı ayrımcılık yapılmasının veya kadınlara karşı şiddetin önlenmesi gibi konularda yasal müdahale hakkı
özerklik	belirlenmesi konuları da eklenirse toplam 10 kriterden bahsetmek mümkünse de tüm bu özellikler 4 ana başlık altında toplanabilir: - Organizasyonel	özerklik:	Akademik ve idari yapılanmayı kapsar - Mali özerklik: Gelir sağlama, kredi kullanma, bina yapma vb. gibi konuları kapsar - Personel
özerklik	mümkünse de tüm bu özellikler 4 ana başlık altında toplanabilir: - Organizasyonel özerklik: Akademik ve idari yapılanmayı kapsar - Mali	özerklik:	Gelir sağlama, kredi kullanma, bina yapma vb. gibi konuları kapsar - Personel özerkliği: Akademik ve idare personelin bağımsız olarak alınmasını
özerklik	Akademik ve idari yapılanmayı kapsar - Mali özerklik: Gelir sağlama, kredi kullanma, bina yapma vb. gibi konuları kapsar - Personel	özerkliği:	Akademik ve idare personelin bağımsız olarak alınmasını kapsar. - Akademik özerklik: Çalışma alanlarını, öğrenci seçimini ve açılacak programların özelliklerini kapsar.
özerklik	kullanma, bina yapma vb. gibi konuları kapsar - Personel özerkliği: Akademik ve idare personelin bağımsız olarak alınmasını kapsar. - Akademik	özerklik:	Çalışma alanlarını, öğrenci seçimini ve açılacak programların özelliklerini kapsar. Programların Bologna sürecine uygun olması, özerkliğin olmadığı anlamına gelmez. Avrupa ve
özerklik	olarak alınmasını kapsar. - Akademik özerklik: Çalışma alanlarını, öğrenci seçimini ve açılacak programların özelliklerini kapsar. Programların Bologna sürecine uygun olması,	özerkliğin	olmadığı anlamına gelmez. Avrupa ve ABD üniversitelerindeki özerklik uygulamaları arasında farklar bulunmaktadır. Özellikle Avrupa üniversitelerindeki özerklik uygulamaları incelendiği ve karşılaştırıldığı
özerklik	öğrenci seçimini ve açılacak programların özelliklerini kapsar. Programların Bologna sürecine uygun olması, özerkliğin olmadığı anlamına gelmez. Avrupa ve ABD üniversitelerindeki	özerklik	uygulamaları arasında farklar bulunmaktadır. Özellikle Avrupa üniversitelerindeki özerklik uygulamaları incelendiği ve karşılaştırıldığı zaman ortaya çıkan tablo şu şekildedir: - ORGANİZASYONEL
özerklik	Bologna sürecine uygun olması, özerkliğin olmadığı anlamına gelmez. Avrupa ve ABD üniversitelerindeki özerklik uygulamaları arasında farklar bulunmaktadır. Özellikle Avrupa üniversitelerindeki	özerklik	uygulamaları incelendiği ve karşılaştırıldığı zaman ortaya çıkan tablo şu şekildedir: - ORGANİZASYONEL ÖZERKLİK Rektörün seçilme kriterleri, görevden uzaklaştırılma kriterleri, görev
