token	corpus size	all contexts size	frequency	co-frequency	specificity
павялічыць	175439	1892	29	14	19.74
wltp	175439	1892	39	13	15.80
км	175439	1892	135	19	15.14
электрамабіляў	175439	1892	26	9	11.30
павялічвае	175439	1892	8	6	10.37
kona	175439	1892	23	8	10.12
tesla	175439	1892	36	9	9.87
hyundai	175439	1892	20	7	8.95
аўтокефальнасьць	175439	1892	4	4	7.87
цыкле	175439	1892	10	5	7.46
semi	175439	1892	10	5	7.46
квт	175439	1892	117	11	7.21
уплывае	175439	1892	5	4	7.18
версіі	175439	1892	55	8	6.88
меншая	175439	1892	6	4	6.70
ev	175439	1892	14	5	6.58
ёмістасці	175439	1892	30	6	6.15
акумулятара	175439	1892	20	5	5.72
батарэі	175439	1892	55	7	5.69
акумулятар	175439	1892	36	6	5.66
электрычная	175439	1892	10	4	5.58
запэўніў	175439	1892	4	3	5.30
taycan	175439	1892	13	4	5.06
карабля	175439	1892	5	3	4.91
дасягаючы	175439	1892	5	3	4.91
магутнасць	175439	1892	29	5	4.88
спажыванне	175439	1892	15	4	4.79
500	175439	1892	16	4	4.67
275	175439	1892	6	3	4.62
суадносіны	175439	1892	6	3	4.62
большую	175439	1892	17	4	4.55
кошту	175439	1892	7	3	4.38
polestar	175439	1892	19	4	4.35
a	175439	1892	37	5	4.35
паколькі	175439	1892	62	6	4.28
epa	175439	1892	8	3	4.18
аўтамабіля	175439	1892	21	4	4.17
будзе	175439	1892	245	11	4.17
новай	175439	1892	22	4	4.09
кіламетраў	175439	1892	43	5	4.03
сістэмай	175439	1892	9	3	4.01
маск	175439	1892	9	3	4.01
рухавіком	175439	1892	24	4	3.94
ўносіць	175439	1892	2	2	3.93
нявызначанасць	175439	1892	2	2	3.93
класіфікуецца	175439	1892	2	2	3.93
ўзроўнях	175439	1892	2	2	3.93
ё	175439	1892	2	2	3.93
усерасейскай	175439	1892	2	2	3.93
брэндам	175439	1892	2	2	3.93
атамных	175439	1892	2	2	3.93
запасах	175439	1892	2	2	3.93
вірусны	175439	1892	2	2	3.93
гуманоіднага	175439	1892	2	2	3.93
зацверджаная	175439	1892	2	2	3.93
высветлілі	175439	1892	2	2	3.93
то-бок	175439	1892	2	2	3.93
уключанага	175439	1892	2	2	3.93
516	175439	1892	2	2	3.93
прапануе	175439	1892	25	4	3.87
electric	175439	1892	10	3	3.86
транспартных	175439	1892	10	3	3.86
ioniq	175439	1892	10	3	3.86
яго	175439	1892	716	19	3.62
большая	175439	1892	12	3	3.60
якой	175439	1892	159	8	3.52
забяспечвае	175439	1892	31	4	3.50
паменшыць	175439	1892	13	3	3.49
міль	175439	1892	13	3	3.49
штучным	175439	1892	3	2	3.46
інтэлекце	175439	1892	3	2	3.46
адносіцца	175439	1892	3	2	3.46
паводзіны	175439	1892	3	2	3.46
праваслаўны	175439	1892	3	2	3.46
паставіў	175439	1892	3	2	3.46
нядрэнна	175439	1892	3	2	3.46
дызайн	175439	1892	3	2	3.46
акумулятарнай	175439	1892	3	2	3.46
абнаўленню	175439	1892	3	2	3.46
электрычнага	175439	1892	15	3	3.30
гадзін	175439	1892	15	3	3.30
гадз	175439	1892	37	4	3.21
зарадку	175439	1892	4	2	3.17
ролік	175439	1892	4	2	3.17
прэзентацыі	175439	1892	4	2	3.17
сумнеў	175439	1892	4	2	3.17
always	175439	1892	4	2	3.17
смартфона	175439	1892	4	2	3.17
дасягаць	175439	1892	4	2	3.17
здолеў	175439	1892	4	2	3.17
ілон	175439	1892	4	2	3.17
24	175439	1892	38	4	3.16
складае	175439	1892	17	3	3.14
ці	175439	1892	280	10	3.11
функцыі	175439	1892	18	3	3.06
эфектыўнасць	175439	1892	19	3	2.99
model	175439	1892	19	3	2.99
царквы	175439	1892	43	4	2.96
кіламетры	175439	1892	5	2	2.95
сродках	175439	1892	5	2	2.95
усяе	175439	1892	5	2	2.95
пастанова	175439	1892	5	2	2.95
духавенствам	175439	1892	5	2	2.95
наагул	175439	1892	5	2	2.95
ротарны	175439	1892	5	2	2.95
робата	175439	1892	5	2	2.95
экрана	175439	1892	5	2	2.95
гадзіны	175439	1892	5	2	2.95
захоўваючы	175439	1892	5	2	2.95
300	175439	1892	21	3	2.86
зарадкі	175439	1892	46	4	2.85
значна	175439	1892	46	4	2.85
дасягнуць	175439	1892	22	3	2.80
наступным	175439	1892	22	3	2.80
згоды	175439	1892	6	2	2.78
згода	175439	1892	6	2	2.78
optimus	175439	1892	6	2	2.78
on	175439	1892	6	2	2.78
478	175439	1892	6	2	2.78
плануе	175439	1892	6	2	2.78
пазадарожніка	175439	1892	6	2	2.78
аўтамабіляў	175439	1892	23	3	2.75
якасці	175439	1892	51	4	2.69
сваю	175439	1892	171	7	2.67
дзве	175439	1892	25	3	2.64
s	175439	1892	25	3	2.64
выкарыстоўваючы	175439	1892	7	2	2.64
пачатковай	175439	1892	7	2	2.64
фактараў	175439	1892	7	2	2.64
можа	175439	1892	231	8	2.54
атрымлівае	175439	1892	8	2	2.52
складанасць	175439	1892	8	2	2.52
прыярытэт	175439	1892	8	2	2.52
палепшыць	175439	1892	8	2	2.52
добрую	175439	1892	8	2	2.52
энергіі	175439	1892	58	4	2.50
адным	175439	1892	59	4	2.47
y	175439	1892	9	2	2.41
стаяў	175439	1892	9	2	2.41
электрамабілі	175439	1892	9	2	2.41
акумулятары	175439	1892	9	2	2.41
bmw	175439	1892	9	2	2.41
для	175439	1892	869	18	2.40
такая	175439	1892	65	4	2.33
пакаленне	175439	1892	10	2	2.32
часопісы	175439	1892	10	2	2.32
ад	175439	1892	693	15	2.28
зноў	175439	1892	34	3	2.27
пры	175439	1892	260	8	2.26
афіцыйная	175439	1892	11	2	2.24
e-tron	175439	1892	11	2	2.24
сэнс	175439	1892	11	2	2.24
функцыя	175439	1892	11	2	2.24
volkswagen	175439	1892	11	2	2.24
кароткі	175439	1892	11	2	2.24
1000	175439	1892	11	2	2.24
якая	175439	1892	209	7	2.23
складзе	175439	1892	71	4	2.20
страты	175439	1892	12	2	2.16
corsa	175439	1892	12	2	2.16
аўтаматызацыя	175439	1892	12	2	2.16
кг	175439	1892	12	2	2.16
2	175439	1892	166	6	2.13
зарадцы	175439	1892	13	2	2.09
гэта	175439	1892	811	16	2.06
батарэяй	175439	1892	14	2	2.03
патрэбны	175439	1892	14	2	2.03
элементаў	175439	1892	14	2	2.03
чым	175439	1892	179	6	2.00
