token	corpus size	all contexts size	frequency	co-frequency	specificity
павялічыць	175444	1892	29	14	19.74
wltp	175444	1892	39	13	15.80
км	175444	1892	135	19	15.14
электрамабіляў	175444	1892	26	9	11.30
павялічвае	175444	1892	8	6	10.37
kona	175444	1892	23	8	10.12
tesla	175444	1892	36	9	9.87
hyundai	175444	1892	20	7	8.95
аўтокефальнасьць	175444	1892	4	4	7.87
цыкле	175444	1892	10	5	7.46
semi	175444	1892	10	5	7.46
квт	175444	1892	117	11	7.21
уплывае	175444	1892	5	4	7.18
версіі	175444	1892	55	8	6.88
меншая	175444	1892	6	4	6.70
ev	175444	1892	14	5	6.58
ёмістасці	175444	1892	30	6	6.15
акумулятара	175444	1892	20	5	5.72
батарэі	175444	1892	55	7	5.69
акумулятар	175444	1892	36	6	5.66
электрычная	175444	1892	10	4	5.58
запэўніў	175444	1892	4	3	5.30
taycan	175444	1892	13	4	5.06
карабля	175444	1892	5	3	4.91
дасягаючы	175444	1892	5	3	4.91
магутнасць	175444	1892	29	5	4.88
спажыванне	175444	1892	15	4	4.79
500	175444	1892	16	4	4.67
275	175444	1892	6	3	4.62
суадносіны	175444	1892	6	3	4.62
большую	175444	1892	17	4	4.55
кошту	175444	1892	7	3	4.38
polestar	175444	1892	19	4	4.35
a	175444	1892	37	5	4.35
паколькі	175444	1892	62	6	4.28
epa	175444	1892	8	3	4.18
аўтамабіля	175444	1892	21	4	4.17
будзе	175444	1892	245	11	4.17
новай	175444	1892	22	4	4.09
кіламетраў	175444	1892	43	5	4.03
сістэмай	175444	1892	9	3	4.01
маск	175444	1892	9	3	4.01
рухавіком	175444	1892	24	4	3.94
ўносіць	175444	1892	2	2	3.93
нявызначанасць	175444	1892	2	2	3.93
класіфікуецца	175444	1892	2	2	3.93
ўзроўнях	175444	1892	2	2	3.93
ё	175444	1892	2	2	3.93
усерасейскай	175444	1892	2	2	3.93
брэндам	175444	1892	2	2	3.93
атамных	175444	1892	2	2	3.93
запасах	175444	1892	2	2	3.93
вірусны	175444	1892	2	2	3.93
гуманоіднага	175444	1892	2	2	3.93
зацверджаная	175444	1892	2	2	3.93
высветлілі	175444	1892	2	2	3.93
то-бок	175444	1892	2	2	3.93
уключанага	175444	1892	2	2	3.93
516	175444	1892	2	2	3.93
прапануе	175444	1892	25	4	3.87
electric	175444	1892	10	3	3.86
транспартных	175444	1892	10	3	3.86
ioniq	175444	1892	10	3	3.86
яго	175444	1892	716	19	3.62
большая	175444	1892	12	3	3.60
якой	175444	1892	159	8	3.52
забяспечвае	175444	1892	31	4	3.50
паменшыць	175444	1892	13	3	3.49
міль	175444	1892	13	3	3.49
штучным	175444	1892	3	2	3.46
інтэлекце	175444	1892	3	2	3.46
адносіцца	175444	1892	3	2	3.46
паводзіны	175444	1892	3	2	3.46
праваслаўны	175444	1892	3	2	3.46
паставіў	175444	1892	3	2	3.46
нядрэнна	175444	1892	3	2	3.46
дызайн	175444	1892	3	2	3.46
акумулятарнай	175444	1892	3	2	3.46
абнаўленню	175444	1892	3	2	3.46
электрычнага	175444	1892	15	3	3.30
гадзін	175444	1892	15	3	3.30
гадз	175444	1892	37	4	3.21
зарадку	175444	1892	4	2	3.17
ролік	175444	1892	4	2	3.17
прэзентацыі	175444	1892	4	2	3.17
сумнеў	175444	1892	4	2	3.17
always	175444	1892	4	2	3.17
смартфона	175444	1892	4	2	3.17
дасягаць	175444	1892	4	2	3.17
здолеў	175444	1892	4	2	3.17
ілон	175444	1892	4	2	3.17
24	175444	1892	38	4	3.16
складае	175444	1892	17	3	3.14
ці	175444	1892	280	10	3.11
функцыі	175444	1892	18	3	3.06
эфектыўнасць	175444	1892	19	3	2.99
model	175444	1892	19	3	2.99
царквы	175444	1892	43	4	2.96
кіламетры	175444	1892	5	2	2.95
сродках	175444	1892	5	2	2.95
усяе	175444	1892	5	2	2.95
пастанова	175444	1892	5	2	2.95
духавенствам	175444	1892	5	2	2.95
наагул	175444	1892	5	2	2.95
ротарны	175444	1892	5	2	2.95
робата	175444	1892	5	2	2.95
экрана	175444	1892	5	2	2.95
гадзіны	175444	1892	5	2	2.95
захоўваючы	175444	1892	5	2	2.95
300	175444	1892	21	3	2.86
зарадкі	175444	1892	46	4	2.85
значна	175444	1892	46	4	2.85
дасягнуць	175444	1892	22	3	2.80
наступным	175444	1892	22	3	2.80
згоды	175444	1892	6	2	2.78
згода	175444	1892	6	2	2.78
optimus	175444	1892	6	2	2.78
on	175444	1892	6	2	2.78
478	175444	1892	6	2	2.78
плануе	175444	1892	6	2	2.78
пазадарожніка	175444	1892	6	2	2.78
аўтамабіляў	175444	1892	23	3	2.75
якасці	175444	1892	51	4	2.69
сваю	175444	1892	171	7	2.67
дзве	175444	1892	25	3	2.64
s	175444	1892	25	3	2.64
выкарыстоўваючы	175444	1892	7	2	2.64
пачатковай	175444	1892	7	2	2.64
фактараў	175444	1892	7	2	2.64
можа	175444	1892	231	8	2.54
атрымлівае	175444	1892	8	2	2.52
складанасць	175444	1892	8	2	2.52
прыярытэт	175444	1892	8	2	2.52
палепшыць	175444	1892	8	2	2.52
добрую	175444	1892	8	2	2.52
энергіі	175444	1892	58	4	2.50
адным	175444	1892	59	4	2.47
y	175444	1892	9	2	2.41
стаяў	175444	1892	9	2	2.41
электрамабілі	175444	1892	9	2	2.41
акумулятары	175444	1892	9	2	2.41
bmw	175444	1892	9	2	2.41
для	175444	1892	869	18	2.40
такая	175444	1892	65	4	2.33
пакаленне	175444	1892	10	2	2.32
часопісы	175444	1892	10	2	2.32
ад	175444	1892	693	15	2.28
зноў	175444	1892	34	3	2.27
пры	175444	1892	260	8	2.26
афіцыйная	175444	1892	11	2	2.24
e-tron	175444	1892	11	2	2.24
сэнс	175444	1892	11	2	2.24
функцыя	175444	1892	11	2	2.24
volkswagen	175444	1892	11	2	2.24
кароткі	175444	1892	11	2	2.24
1000	175444	1892	11	2	2.24
якая	175444	1892	209	7	2.23
складзе	175444	1892	71	4	2.20
страты	175444	1892	12	2	2.16
corsa	175444	1892	12	2	2.16
аўтаматызацыя	175444	1892	12	2	2.16
кг	175444	1892	12	2	2.16
2	175444	1892	166	6	2.13
зарадцы	175444	1892	13	2	2.09
гэта	175444	1892	811	16	2.06
батарэяй	175444	1892	14	2	2.03
патрэбны	175444	1892	14	2	2.03
элементаў	175444	1892	14	2	2.03
чым	175444	1892	179	6	2.00
ніжэй	175444	1892	15	2	1.97
засталася	175444	1892	15	2	1.97
відавочна	175444	1892	15	2	1.97
распрацоўваюць	175444	1892	1	1	1.97
павялічвалі	175444	1892	1	1	1.97
падшыпніка	175444	1892	1	1	1.97
літый-іённай	175444	1892	1	1	1.97
зніжана	175444	1892	1	1	1.97
няправільнага	175444	1892	1	1	1.97
рэкламуемая	175444	1892	1	1	1.97
пацверджаная	175444	1892	1	1	1.97
354	175444	1892	1	1	1.97
аптымізуецца	175444	1892	1	1	1.97
пазбягаючы	175444	1892	1	1	1.97
марнавання	175444	1892	1	1	1.97
мнасць	175444	1892	1	1	1.97
скар	175444	1892	1	1	1.97
тактыка-тэхнічных	175444	1892	1	1	1.97
сутках	175444	1892	1	1	1.97
праектаванні	175444	1892	1	1	1.97
улічваюцца	175444	1892	1	1	1.97
ускладзеныя	175444	1892	1	1	1.97
надзейнасцю	175444	1892	1	1	1.97
тэхнічных	175444	1892	1	1	1.97
экіпажа	175444	1892	1	1	1.97
заселенасці	175444	1892	1	1	1.97
неабмежаванай	175444	1892	1	1	1.97
караблёў	175444	1892	1	1	1.97
тыповым	175444	1892	1	1	1.97
правізіі	175444	1892	1	1	1.97
прэснай	175444	1892	1	1	1.97
авіяносцаў	175444	1892	1	1	1.97
авіягрупы	175444	1892	1	1	1.97
парку	175444	1892	1	1	1.97
запісу	175444	1892	1	1	1.97
простае	175444	1892	1	1	1.97
спартыўную	175444	1892	1	1	1.97
язду	175444	1892	1	1	1.97
характарызавацца	175444	1892	1	1	1.97
дынамічнай	175444	1892	1	1	1.97
запраўкі	175444	1892	1	1	1.97
сур'ёзнае	175444	1892	1	1	1.97
змяніўшы	175444	1892	1	1	1.97
выкарыстоўванага	175444	1892	1	1	1.97
перазарадка	175444	1892	1	1	1.97
павялічанага	175444	1892	1	1	1.97
растлумачыла	175444	1892	1	1	1.97
раздражняе	175444	1892	1	1	1.97
мэтазгодная	175444	1892	1	1	1.97
псыхолягаў	175444	1892	1	1	1.97
партнэраў	175444	1892	1	1	1.97
перакрэсьлівае	175444	1892	1	1	1.97
ўласна	175444	1892	1	1	1.97
ўстанавілася	175444	1892	1	1	1.97
структурная	175444	1892	1	1	1.97
аб’яднання	175444	1892	1	1	1.97
характарыстыка	175444	1892	1	1	1.97
выкарыстоўваеце	175444	1892	1	1	1.97
шумапрыглушэнне	175444	1892	1	1	1.97
блакіруе	175444	1892	1	1	1.97
навакольныя	175444	1892	1	1	1.97
шумы	175444	1892	1	1	1.97
атрымаем	175444	1892	1	1	1.97
прыстойную	175444	1892	1	1	1.97
актывацыі	175444	1892	1	1	1.97
адключэнняў	175444	1892	1	1	1.97
пітве	175444	1892	1	1	1.97
шлем	175444	1892	1	1	1.97
фініш	175444	1892	1	1	1.97
хрэнін	175444	1892	1	1	1.97
шойгу	175444	1892	1	1	1.97
здацца	175444	1892	1	1	1.97
незамацаванасцю	175444	1892	1	1	1.97
дыскурсіўнай	175444	1892	1	1	1.97
адасобленасцю	175444	1892	1	1	1.97
дэтэрмінацыі	175444	1892	1	1	1.97
зместавая	175444	1892	1	1	1.97
абумоўлівае	175444	1892	1	1	1.97
незамацаванасць	175444	1892	1	1	1.97
адасобленасць	175444	1892	1	1	1.97
зберагчы	175444	1892	1	1	1.97
губляюць	175444	1892	1	1	1.97
літыя	175444	1892	1	1	1.97
амалагізуе	175444	1892	1	1	1.97
330	175444	1892	1	1	1.97
візітоўкай	175444	1892	1	1	1.97
5260	175444	1892	1	1	1.97
маг	175444	1892	1	1	1.97
базавыя	175444	1892	1	1	1.97
гібрыду	175444	1892	1	1	1.97
аргументаў	175444	1892	1	1	1.97
нядобразычліўцаў	175444	1892	1	1	1.97
электрарухавіком	175444	1892	1	1	1.97
даўжынямі	175444	1892	1	1	1.97
ёмістасцей	175444	1892	1	1	1.97
функцыянал	175444	1892	1	1	1.97
разведвальныя	175444	1892	1	1	1.97
прызначэнню	175444	1892	1	1	1.97
вызначальных	175444	1892	1	1	1.97
прыкметная	175444	1892	1	1	1.97
млрд	175444	1892	1	1	1.97
тонкі	175444	1892	1	1	1.97
партатыўнасці	175444	1892	1	1	1.97
фірмавы	175444	1892	1	1	1.97
доўгую	175444	1892	1	1	1.97
абсталяваная	175444	1892	1	1	1.97
19-цалевыя	175444	1892	1	1	1.97
321	175444	1892	1	1	1.97
абсталяваныя	175444	1892	1	1	1.97
паўгоддзі	175444	1892	1	1	1.97
кузавы	175444	1892	1	1	1.97
ўніверсальнасць	175444	1892	1	1	1.97
такяго	175444	1892	1	1	1.97
lo	175444	1892	1	1	1.97
permite	175444	1892	1	1	1.97
una	175444	1892	1	1	1.97
сертыфікаваная	175444	1892	1	1	1.97
аўтамабільныя	175444	1892	1	1	1.97
гала	175444	1892	1	1	1.97
ацанілі	175444	1892	1	1	1.97
дэль	175444	1892	1	1	1.97
аўтабілд	175444	1892	1	1	1.97
карыдызіяк	175444	1892	1	1	1.97
карыснасць	175444	1892	1	1	1.97
ўкараняць	175444	1892	1	1	1.97
незразумела	175444	1892	1	1	1.97
амерыканскім	175444	1892	1	1	1.97
бесправадному	175444	1892	1	1	1.97
запушчанаму	175444	1892	1	1	1.97
шведскім	175444	1892	1	1	1.97
удасканаліўшы	175444	1892	1	1	1.97
заяўленая	175444	1892	1	1	1.97
532	175444	1892	1	1	1.97
празмернае	175444	1892	1	1	1.97
пагаршае	175444	1892	1	1	1.97
адаптавалі	175444	1892	1	1	1.97
павялічылі	175444	1892	1	1	1.97
каментаваў	175444	1892	1	1	1.97
беларускае	175444	1892	86	4	1.93
электрычным	175444	1892	16	2	1.92
прычым	175444	1892	48	3	1.88
кошт	175444	1892	48	3	1.88
увесь	175444	1892	17	2	1.87
паказвае	175444	1892	17	2	1.87
рухавік	175444	1892	17	2	1.87
чакаць	175444	1892	17	2	1.87
ён	175444	1892	440	10	1.87
дзякуючы	175444	1892	90	4	1.87
да	175444	1892	1340	22	1.82
агульнай	175444	1892	19	2	1.78
трох	175444	1892	19	2	1.78
i	175444	1892	19	2	1.78
дазваляе	175444	1892	54	3	1.75
000	175444	1892	20	2	1.74
id	175444	1892	20	2	1.74
ёмістасцю	175444	1892	20	2	1.74
забеспячэння	175444	1892	21	2	1.70
рэжыме	175444	1892	21	2	1.70
па	175444	1892	623	12	1.68
адной	175444	1892	58	3	1.67
распрацавала	175444	1892	2	1	1.67
357	175444	1892	2	1	1.67
перагледзець	175444	1892	2	1	1.67
тэстаў	175444	1892	2	1	1.67
карэйскі	175444	1892	2	1	1.67
сілавой	175444	1892	2	1	1.67
ніжэйшая	175444	1892	2	1	1.67
штодзённа	175444	1892	2	1	1.67
недастатковая	175444	1892	2	1	1.67
характарызуе	175444	1892	2	1	1.67
задаецца	175444	1892	2	1	1.67
забяспечваецца	175444	1892	2	1	1.67
далёкасці	175444	1892	2	1	1.67
плавання	175444	1892	2	1	1.67
боепрыпасаў	175444	1892	2	1	1.67
стандартным	175444	1892	2	1	1.67
lcv	175444	1892	2	1	1.67
святла	175444	1892	2	1	1.67
кансолі	175444	1892	2	1	1.67
75-працэнтным	175444	1892	2	1	1.67
зарадзе	175444	1892	2	1	1.67
382	175444	1892	2	1	1.67
ключ	175444	1892	2	1	1.67
выдатнай	175444	1892	2	1	1.67
перавагамі	175444	1892	2	1	1.67
паліўных	175444	1892	2	1	1.67
палепшыла	175444	1892	2	1	1.67
павялічана	175444	1892	2	1	1.67
семдзесят	175444	1892	2	1	1.67
417	175444	1892	2	1	1.67
тлумачыцца	175444	1892	2	1	1.67
статку	175444	1892	2	1	1.67
самаарганізацыя	175444	1892	2	1	1.67
сям’і	175444	1892	2	1	1.67
выраблены	175444	1892	2	1	1.67
гарнітура	175444	1892	2	1	1.67
пашырыць	175444	1892	2	1	1.67
батарэямі	175444	1892	2	1	1.67
bms	175444	1892	2	1	1.67
выдатках	175444	1892	2	1	1.67
гатаванні	175444	1892	2	1	1.67
ежы	175444	1892	2	1	1.67
ранняга	175444	1892	2	1	1.67
дабрацца	175444	1892	2	1	1.67
падобнымі	175444	1892	2	1	1.67
функцыянальную	175444	1892	2	1	1.67
некаторая	175444	1892	2	1	1.67
абранага	175444	1892	2	1	1.67
зможаце	175444	1892	2	1	1.67
ёмісты	175444	1892	2	1	1.67
гарадская	175444	1892	2	1	1.67
платформе	175444	1892	2	1	1.67
парушаная	175444	1892	2	1	1.67
якасны	175444	1892	2	1	1.67
дысплэй	175444	1892	2	1	1.67
брэндаў	175444	1892	2	1	1.67
ідэальны	175444	1892	2	1	1.67
21-цалевымі	175444	1892	2	1	1.67
шыны	175444	1892	2	1	1.67
абноўленай	175444	1892	2	1	1.67
прыдатным	175444	1892	2	1	1.67
літый-іённы	175444	1892	2	1	1.67
que	175444	1892	2	1	1.67
камбінаваным	175444	1892	2	1	1.67
пераможцам	175444	1892	2	1	1.67
далёкі	175444	1892	2	1	1.67
павялічылася	175444	1892	2	1	1.67
горшая	175444	1892	2	1	1.67
невялікім	175444	1892	2	1	1.67
стол	175444	1892	2	1	1.67
напружанне	175444	1892	2	1	1.67
загаловак	175444	1892	2	1	1.67
распрацоўкі	175444	1892	2	1	1.67
наколькі	175444	1892	22	2	1.67
магутнасці	175444	1892	22	2	1.67
каля	175444	1892	59	3	1.65
новы	175444	1892	60	3	1.64
незалежнасьць	175444	1892	23	2	1.63
чале	175444	1892	24	2	1.60
сродкаў	175444	1892	24	2	1.60
тая	175444	1892	24	2	1.60
акумулятарам	175444	1892	24	2	1.60
задачы	175444	1892	25	2	1.57
у	175444	1892	3101	41	1.56
рашэнне	175444	1892	26	2	1.54
нават	175444	1892	176	5	1.52
здаецца	175444	1892	27	2	1.51
трэнне	175444	1892	3	1	1.50
402	175444	1892	3	1	1.50
працэдуры	175444	1892	3	1	1.50
вызначэнні	175444	1892	3	1	1.50
максымізаваць	175444	1892	3	1	1.50
неабходных	175444	1892	3	1	1.50
elcv	175444	1892	3	1	1.50
выкарыстанні	175444	1892	3	1	1.50
камерцыйнага	175444	1892	3	1	1.50
азначаць	175444	1892	3	1	1.50
пастаўляе	175444	1892	3	1	1.50
гібрыдным	175444	1892	3	1	1.50
асноўнымі	175444	1892	3	1	1.50
провінцый	175444	1892	3	1	1.50
сонечную	175444	1892	3	1	1.50
навігацыі	175444	1892	3	1	1.50
загады	175444	1892	3	1	1.50
паслядоўнай	175444	1892	3	1	1.50
кампутара	175444	1892	3	1	1.50
навінак	175444	1892	3	1	1.50
выдатным	175444	1892	3	1	1.50
рэалізавана	175444	1892	3	1	1.50
заснаванай	175444	1892	3	1	1.50
паўплывае	175444	1892	3	1	1.50
варыянце	175444	1892	3	1	1.50
колераў	175444	1892	3	1	1.50
захоўваюць	175444	1892	3	1	1.50
даступных	175444	1892	3	1	1.50
ўстаноўлены	175444	1892	3	1	1.50
пахваліцца	175444	1892	3	1	1.50
узнагароджаны	175444	1892	3	1	1.50
згаданыя	175444	1892	3	1	1.50
прычынамі	175444	1892	3	1	1.50
прызначэння	175444	1892	3	1	1.50
амерыканская	175444	1892	3	1	1.50
магчымае	175444	1892	3	1	1.50
палярная	175444	1892	3	1	1.50
340	175444	1892	3	1	1.50
фургоне	175444	1892	3	1	1.50
дзіўны	175444	1892	3	1	1.50
нагрузкай	175444	1892	3	1	1.50
дасягне	175444	1892	3	1	1.50
аўтаномных	175444	1892	28	2	1.48
мае	175444	1892	126	4	1.44
50	175444	1892	31	2	1.40
памяншэння	175444	1892	4	1	1.38
вытворцам	175444	1892	4	1	1.38
памер	175444	1892	4	1	1.38
стварэннем	175444	1892	4	1	1.38
паліва	175444	1892	4	1	1.38
рэальныя	175444	1892	4	1	1.38
рэальным	175444	1892	4	1	1.38
рэкамендуецца	175444	1892	4	1	1.38
ўплывае	175444	1892	4	1	1.38
трэцяе	175444	1892	4	1	1.38
вагу	175444	1892	4	1	1.38
следства	175444	1892	4	1	1.38
падоўжыць	175444	1892	4	1	1.38
аднолькава	175444	1892	4	1	1.38
заяве	175444	1892	4	1	1.38
складанасці	175444	1892	4	1	1.38
тлумачэнне	175444	1892	4	1	1.38
глыбокі	175444	1892	4	1	1.38
змяняецца	175444	1892	4	1	1.38
сямі	175444	1892	4	1	1.38
склала	175444	1892	4	1	1.38
інтэграцыя	175444	1892	4	1	1.38
электрычнасць	175444	1892	4	1	1.38
самастойнасьць	175444	1892	4	1	1.38
падразьдзяленьня	175444	1892	4	1	1.38
ісьці	175444	1892	4	1	1.38
адмовіліся	175444	1892	4	1	1.38
плана	175444	1892	4	1	1.38
тэмпературай	175444	1892	4	1	1.38
атрымаецца	175444	1892	4	1	1.38
абедзвюх	175444	1892	4	1	1.38
мабільнасць	175444	1892	4	1	1.38
evmp	175444	1892	4	1	1.38
даступнай	175444	1892	4	1	1.38
падобны	175444	1892	4	1	1.38
палёту	175444	1892	4	1	1.38
паказчыкі	175444	1892	4	1	1.38
куплі	175444	1892	4	1	1.38
stellantis	175444	1892	4	1	1.38
ўключыць	175444	1892	4	1	1.38
корпус	175444	1892	4	1	1.38
седан	175444	1892	4	1	1.38
311	175444	1892	4	1	1.38
верагодна	175444	1892	4	1	1.38
павялічваючы	175444	1892	4	1	1.38
падтрымлівае	175444	1892	4	1	1.38
69	175444	1892	4	1	1.38
моцных	175444	1892	4	1	1.38
праведзеных	175444	1892	4	1	1.38
але	175444	1892	482	9	1.38
бок	175444	1892	33	2	1.36
магчыма	175444	1892	33	2	1.36
з	175444	1892	2588	33	1.35
і	175444	1892	5745	65	1.33
робіць	175444	1892	35	2	1.32
выкарыстання	175444	1892	35	2	1.32
schaeffler	175444	1892	5	1	1.29
e-niro	175444	1892	5	1	1.29
аўтано	175444	1892	5	1	1.29
каманды	175444	1892	5	1	1.29
разліку	175444	1892	5	1	1.29
ўбачым	175444	1892	5	1	1.29
286	175444	1892	5	1	1.29
азначала	175444	1892	5	1	1.29
меншы	175444	1892	5	1	1.29
вадародны	175444	1892	5	1	1.29
абнаўленне	175444	1892	5	1	1.29
рухавіка	175444	1892	5	1	1.29
гібрыдная	175444	1892	5	1	1.29
запасу	175444	1892	5	1	1.29
залежнасьць	175444	1892	5	1	1.29
ранейшыя	175444	1892	5	1	1.29
навязаных	175444	1892	5	1	1.29
характарыстыкі	175444	1892	5	1	1.29
103	175444	1892	5	1	1.29
гаворкі	175444	1892	5	1	1.29
рота	175444	1892	5	1	1.29
губляе	175444	1892	5	1	1.29
налады	175444	1892	5	1	1.29
выбарам	175444	1892	5	1	1.29
57	175444	1892	5	1	1.29
psa	175444	1892	5	1	1.29
мабільнасці	175444	1892	5	1	1.29
электрычнасці	175444	1892	5	1	1.29
233	175444	1892	5	1	1.29
паўсядзённага	175444	1892	5	1	1.29
цыкла	175444	1892	5	1	1.29
вырашыла	175444	1892	5	1	1.29
224	175444	1892	5	1	1.29
long	175444	1892	5	1	1.29
фірма	175444	1892	5	1	1.29
82	175444	1892	5	1	1.29
аб'яўляе	175444	1892	5	1	1.29
выпрабаванняў	175444	1892	5	1	1.29
вялікая	175444	1892	37	2	1.28
г	175444	1892	687	11	1.25
гэтай	175444	1892	218	5	1.25
падшыпнікі	175444	1892	6	1	1.21
дазваляюць	175444	1892	6	1	1.21
абодвух	175444	1892	6	1	1.21
мяжу	175444	1892	6	1	1.21
прыняцце	175444	1892	6	1	1.21
экран	175444	1892	6	1	1.21
большае	175444	1892	6	1	1.21
агульную	175444	1892	6	1	1.21
ўплываюць	175444	1892	6	1	1.21
канкурэнтаў	175444	1892	6	1	1.21
чатырох	175444	1892	6	1	1.21
электраэнергіі	175444	1892	6	1	1.21
святло	175444	1892	6	1	1.21
