token	corpus size	all contexts size	frequency	co-frequency	specificity
관계적	38955	951	3	3	4.84
퇴소	38955	951	4	3	4.25
지원	38955	951	95	10	4.04
보호	38955	951	36	6	3.71
필요한	38955	951	27	5	3.39
탈시설	38955	951	7	3	3.34
975	38955	951	2	2	3.23
실증도시	38955	951	2	2	3.23
사립고	38955	951	2	2	3.23
탈시설과	38955	951	2	2	3.23
생활의	38955	951	2	2	3.23
수당의	38955	951	2	2	3.23
금액과	38955	951	2	2	3.23
교수	38955	951	8	3	3.14
지원을	38955	951	35	5	2.88
제도가	38955	951	10	3	2.83
헬스케어	38955	951	3	2	2.76
범죄	38955	951	3	2	2.76
자립지원관	38955	951	3	2	2.76
지원이나	38955	951	3	2	2.76
보호종료아동	38955	951	3	2	2.76
sns	38955	951	3	2	2.76
관심이	38955	951	3	2	2.76
인력의	38955	951	3	2	2.76
지속가능한	38955	951	3	2	2.76
회장은	38955	951	11	3	2.71
자율주행	38955	951	24	4	2.64
생활을	38955	951	12	3	2.59
주차	38955	951	4	2	2.47
쉼터	38955	951	4	2	2.47
보호가	38955	951	4	2	2.47
정보	38955	951	4	2	2.47
윤도현	38955	951	4	2	2.47
대상자	38955	951	4	2	2.47
스마트	38955	951	15	3	2.31
19	38955	951	15	3	2.31
명	38955	951	30	4	2.29
기반이	38955	951	5	2	2.26
사람들을	38955	951	5	2	2.26
기간이	38955	951	5	2	2.26
변화를	38955	951	5	2	2.26
신재생에너지	38955	951	6	2	2.09
자동차	38955	951	6	2	2.09
상용화를	38955	951	6	2	2.09
신규	38955	951	6	2	2.09
예방	38955	951	6	2	2.09
지원한다	38955	951	6	2	2.09
복지시설	38955	951	6	2	2.09
자율형	38955	951	6	2	2.09
라며	38955	951	18	3	2.09
만	38955	951	58	5	1.97
된다	38955	951	20	3	1.96
안전한	38955	951	7	2	1.96
경우가	38955	951	7	2	1.96
거주	38955	951	7	2	1.96
맞습니다	38955	951	7	2	1.96
자립을	38955	951	21	3	1.91
에너지	38955	951	22	3	1.85
진정한	38955	951	8	2	1.84
설명했다	38955	951	8	2	1.84
차원에서	38955	951	8	2	1.84
것이	38955	951	42	4	1.81
교육	38955	951	43	4	1.78
사업은	38955	951	9	2	1.74
아동의	38955	951	9	2	1.74
실질적인	38955	951	9	2	1.74
같은	38955	951	45	4	1.72
사회적	38955	951	26	3	1.67
중인	38955	951	10	2	1.66
등	38955	951	154	8	1.65
증액된	38955	951	1	1	1.61
조치는	38955	951	1	1	1.61
구역에	38955	951	1	1	1.61
위치한다	38955	951	1	1	1.61
도입될	38955	951	1	1	1.61
예정으로	38955	951	1	1	1.61
가치와	38955	951	1	1	1.61
에코델타시티와	38955	951	1	1	1.61
국가시범	38955	951	1	1	1.61
스마트시티로	38955	951	1	1	1.61
지정된	38955	951	1	1	1.61
지역이다	38955	951	1	1	1.61
산업혁명	38955	951	1	1	1.61
신기술을	38955	951	1	1	1.61
테스트베드로	38955	951	1	1	1.61
인프라가	38955	951	1	1	1.61
금전	38955	951	1	1	1.61
개입의	38955	951	1	1	1.61
추진됐다	38955	951	1	1	1.61
데일리한국	38955	951	1	1	1.61
손희연	38955	951	1	1	1.61
수상했다고	38955	951	1	1	1.61
노숙인들이	38955	951	1	1	1.61
존엄까지	38955	951	1	1	1.61
짜증	38955	951	1	1	1.61
부정적	38955	951	1	1	1.61
정서가	38955	951	1	1	1.61
줄어들고	38955	951	1	1	1.61
갈등	38955	951	1	1	1.61
향상되었다고	38955	951	1	1	1.61
분석되었다	38955	951	1	1	1.61
커뮤니티가	38955	951	1	1	1.61
이라	38955	951	1	1	1.61
홀로서기	38955	951	1	1	1.61
인정하고	38955	951	1	1	1.61
도와	38955	951	1	1	1.61
추가적인	38955	951	1	1	1.61
주거안정을	38955	951	1	1	1.61
퇴소했거나	38955	951	1	1	1.61
예정이면서	38955	951	1	1	1.61
청소년인데	38955	951	1	1	1.61
세를	38955	951	1	1	1.61
단서가	38955	951	1	1	1.61
대구시립희망원에서	38955	951	1	1	1.61
중증지적장애인	38955	951	1	1	1.61
김선영	38955	951	1	1	1.61
가명	38955	951	1	1	1.61
지방자치단체	38955	951	1	1	1.61
시도했다가	38955	951	1	1	1.61
대구시에	38955	951	1	1	1.61
실태가	38955	951	1	1	1.61
중심으로만	38955	951	1	1	1.61
장애인이라도	38955	951	1	1	1.61
지원에서	38955	951	1	1	1.61
배제되는	38955	951	1	1	1.61
생긴다는	38955	951	1	1	1.61
김씨의	38955	951	1	1	1.61
경우처럼	38955	951	1	1	1.61
조례가	38955	951	1	1	1.61
따지는	38955	951	1	1	1.61
대표적이다	38955	951	1	1	1.61
드러나기	38955	951	1	1	1.61
차별적으로	38955	951	1	1	1.61
적용된다	38955	951	1	1	1.61
자기주도학습전형	38955	951	1	1	1.61
서류의	38955	951	1	1	1.61
진위	38955	951	1	1	1.61
자기주도학습	38955	951	1	1	1.61
학습동기	38955	951	1	1	1.61
중점적으로	38955	951	1	1	1.61
평가하게	38955	951	1	1	1.61
입학전형안	38955	951	1	1	1.61
도표	38955	951	1	1	1.61
busan	38955	951	1	1	1.61
한국보건사회연구원의	38955	951	1	1	1.61
욕구조사	38955	951	1	1	1.61
3104	38955	951	1	1	1.61
자립준비청년이었던	38955	951	1	1	1.61
업로드하곤	38955	951	1	1	1.61
했는데	38955	951	1	1	1.61
농림수산식품부는	38955	951	1	1	1.61
자강	38955	951	1	1	1.61
실천을	38955	951	1	1	1.61
역점	38955	951	1	1	1.61
추진한	38955	951	1	1	1.61
환상	38955	951	1	1	1.61
협의	38955	951	1	1	1.61
과학기술혁신	38955	951	1	1	1.61
건설을	38955	951	1	1	1.61
시행될	38955	951	1	1	1.61
심의에서는	38955	951	1	1	1.61
7000	38955	951	1	1	1.61
드림	38955	951	1	1	1.61
격려식	38955	951	1	1	1.61
복지원에서	38955	951	1	1	1.61
여럿	38955	951	1	1	1.61
보았다	38955	951	1	1	1.61
그들은	38955	951	1	1	1.61
불렀다	38955	951	1	1	1.61
만나면서	38955	951	1	1	1.61
생겼다	38955	951	1	1	1.61
주제에	38955	951	1	1	1.61
결정들을	38955	951	1	1	1.61
근기	38955	951	1	1	1.61
있나	38955	951	1	1	1.61
원씩	38955	951	1	1	1.61
지급되던	38955	951	1	1	1.61
수당이	38955	951	1	1	1.61
원씩으로	38955	951	1	1	1.61
인상됐다	38955	951	1	1	1.61
유의미한	38955	951	1	1	1.61
변화다	38955	951	1	1	1.61
숭실사이버대	38955	951	1	1	1.61
아동학과	38955	951	1	1	1.61
확대된	38955	951	1	1	1.61
사실이나	38955	951	1	1	1.61
고려하지	38955	951	1	1	1.61
금액	38955	951	1	1	1.61
원가량의	38955	951	1	1	1.61
자립정착금이	38955	951	1	1	1.61
지원되지만	38955	951	1	1	1.61
근로를	38955	951	1	1	1.61
병행하지	38955	951	1	1	1.61
신설하겠다고	38955	951	1	1	1.61
종료되면서	38955	951	1	1	1.61
법학전문대학원	38955	951	1	1	1.61
고립돼	38955	951	1	1	1.61
무력감을	38955	951	1	1	1.61
느끼며	38955	951	1	1	1.61
떨어지는	38955	951	1	1	1.61
시행뿐만	38955	951	1	1	1.61
보육원에서의	38955	951	1	1	1.61
환경도	38955	951	1	1	1.61
훗날	38955	951	1	1	1.61
방해한다	38955	951	1	1	1.61
보육원에서	38955	951	1	1	1.61
진행되는	38955	951	1	1	1.61
형식적이라는	38955	951	1	1	1.61
지적됐다	38955	951	1	1	1.61
진부할	38955	951	1	1	1.61
뿐만	38955	951	1	1	1.61
성공하려면	38955	951	1	1	1.61
종료되기	38955	951	1	1	1.61
관건이다	38955	951	1	1	1.61
법안에	38955	951	1	1	1.61
포함된	38955	951	1	1	1.61
교육과	38955	951	1	1	1.61
제공하지	38955	951	1	1	1.61
못한다고	38955	951	1	1	1.61
금전적	38955	951	1	1	1.61
지원에만	38955	951	1	1	1.61
개인에	38955	951	1	1	1.61
제공돼야	38955	951	1	1	1.61
하기에	38955	951	1	1	1.61
역할이	38955	951	1	1	1.61
규모가	38955	951	1	1	1.61
작고	38955	951	1	1	1.61
일대일	38955	951	1	1	1.61
멘토를	38955	951	1	1	1.61
연결시킬	38955	951	1	1	1.61
수당	38955	951	1	1	1.61
결혼	38955	951	1	1	1.61
비공식적인	38955	951	1	1	1.61
모임에는	38955	951	1	1	1.61
동질감이	38955	951	1	1	1.61
편안함	38955	951	1	1	1.61
분위기에서	38955	951	1	1	1.61
공유되는	38955	951	1	1	1.61
발굴과	38955	951	1	1	1.61
아동이	38955	951	1	1	1.61
당사자임을	38955	951	1	1	1.61
부끄러워하지	38955	951	1	1	1.61
출신을	38955	951	1	1	1.61
국회입법조사처	38955	951	1	1	1.61
국회입법조사처가	38955	951	1	1	1.61
전담기관	38955	951	1	1	1.61
운영실태와	38955	951	1	1	1.61
개선과제	38955	951	1	1	1.61
보고서에	38955	951	1	1	1.61
종로구는	38955	951	1	1	1.61
경제정보가	38955	951	1	1	1.61
부족하고	38955	951	1	1	1.61
절실한	38955	951	1	1	1.61
계층을	38955	951	1	1	1.61
청년과	38955	951	1	1	1.61
구민들이	38955	951	1	1	1.61
다질	38955	951	1	1	1.61
있기를	38955	951	1	1	1.61
한국에서	38955	951	1	1	1.61
차지할	38955	951	1	1	1.61
맞으면서	38955	951	1	1	1.61
꿈꾸면서	38955	951	1	1	1.61
동료들을	38955	951	1	1	1.61
생활은	38955	951	1	1	1.61
가정이나	38955	951	1	1	1.61
이동한다는	38955	951	1	1	1.61
물리적인	38955	951	1	1	1.61
생활로	38955	951	1	1	1.61
표현되는	38955	951	1	1	1.61
봐주시면	38955	951	1	1	1.61
이후부터	38955	951	1	1	1.61
서울에	38955	951	1	1	1.61
이어서	38955	951	1	1	1.61
계획이라는	38955	951	1	1	1.61
계획들을	38955	951	1	1	1.61
발표하면서	38955	951	1	1	1.61
수만을	38955	951	1	1	1.61
것이고	38955	951	1	1	1.61
이거	38955	951	1	1	1.61
낮	38955	951	1	1	1.61
끝으로	38955	951	1	1	1.61
관련해서	38955	951	1	1	1.61
청취자들께	38955	951	1	1	1.61
말씀이	38955	951	1	1	1.61
박사님으로서	38955	951	1	1	1.61
주거	38955	951	11	2	1.58
역량	38955	951	11	2	1.58
국가	38955	951	29	3	1.55
않고	38955	951	12	2	1.51
이를	38955	951	32	3	1.45
바탕으로	38955	951	13	2	1.45
시설에	38955	951	13	2	1.45
500	38955	951	13	2	1.45
시설에서	38955	951	13	2	1.45
장애인	38955	951	58	4	1.40
등의	38955	951	14	2	1.39
네	38955	951	14	2	1.39
조성	38955	951	15	2	1.34
것은	38955	951	36	3	1.34
이동권	38955	951	2	1	1.32
가치가	38955	951	2	1	1.32
결합되면서	38955	951	2	1	1.32
전인적	38955	951	2	1	1.32
실현하기	38955	951	2	1	1.32
통합적	38955	951	2	1	1.32
서울시	38955	951	2	1	1.32
공간이다	38955	951	2	1	1.32
개인으로서의	38955	951	2	1	1.32
불안	38955	951	2	1	1.32
해결	38955	951	2	1	1.32
능력과	38955	951	2	1	1.32
이끌어	38955	951	2	1	1.32
부른다	38955	951	2	1	1.32
신청했다	38955	951	2	1	1.32
자립지원관은	38955	951	2	1	1.32
청소년에게	38955	951	2	1	1.32
그런데도	38955	951	2	1	1.32
장애인복지시설을	38955	951	2	1	1.32
탓에	38955	951	2	1	1.32
학대	38955	951	2	1	1.32
사건	38955	951	2	1	1.32
시행을	38955	951	2	1	1.32
장애인거주시설	38955	951	2	1	1.32
장애인도	38955	951	2	1	1.32
차별	38955	951	2	1	1.32
고교	38955	951	2	1	1.32
수산업	38955	951	2	1	1.32
mst	38955	951	2	1	1.32
스타트	38955	951	2	1	1.32
시설이라는	38955	951	2	1	1.32
궁금해졌다	38955	951	2	1	1.32
떼어내고	38955	951	2	1	1.32
떼어내는	38955	951	2	1	1.32
활보활보	38955	951	2	1	1.32
김영심	38955	951	2	1	1.32
시점에	38955	951	2	1	1.32
합쳐도	38955	951	2	1	1.32
자립지원전담기관은	38955	951	2	1	1.32
제철웅	38955	951	2	1	1.32
한양대	38955	951	2	1	1.32
사회적으로	38955	951	2	1	1.32
자립준비청년은	38955	951	2	1	1.32
의지가	38955	951	2	1	1.32
경향이	38955	951	2	1	1.32
개선이	38955	951	2	1	1.32
적응을	38955	951	2	1	1.32
자립준비청년이	38955	951	2	1	1.32
개발하는	38955	951	2	1	1.32
모았다	38955	951	2	1	1.32
전방위적	38955	951	2	1	1.32
이해를	38955	951	2	1	1.32
자원이	38955	951	2	1	1.32
전문성도	38955	951	2	1	1.32
자조	38955	951	2	1	1.32
자유로운	38955	951	2	1	1.32
고립된	38955	951	2	1	1.32
공개하는	38955	951	2	1	1.32
제시한다	38955	951	2	1	1.32
이룬	38955	951	2	1	1.32
1395	38955	951	2	1	1.32
2299	38955	951	2	1	1.32
수혜자가	38955	951	2	1	1.32
협약을	38955	951	2	1	1.32
이루고	38955	951	2	1	1.32
협력해	38955	951	2	1	1.32
핵심적인	38955	951	2	1	1.32
주년을	38955	951	2	1	1.32
센터와	38955	951	2	1	1.32
보는	38955	951	2	1	1.32
흔히	38955	951	2	1	1.32
지역사회로	38955	951	2	1	1.32
적절한	38955	951	2	1	1.32
이야기하고	38955	951	2	1	1.32
꾸준하게	38955	951	2	1	1.32
지원한	38955	951	2	1	1.32
서비스나	38955	951	2	1	1.32
있으실까요	38955	951	2	1	1.32
생활	38955	951	16	2	1.30
역시	38955	951	16	2	1.30
우선	38955	951	17	2	1.25
만드는	38955	951	18	2	1.21
등을	38955	951	43	3	1.18
단순한	38955	951	19	2	1.17
년간	38955	951	19	2	1.17
보장을	38955	951	3	1	1.16
실현하는	38955	951	3	1	1.16
도로	38955	951	3	1	1.16
기능이	38955	951	3	1	1.16
구현하는	38955	951	3	1	1.16
정부와	38955	951	3	1	1.16
환경과	38955	951	3	1	1.16
노숙인	38955	951	3	1	1.16
보장하는	38955	951	3	1	1.16
증빙	38955	951	3	1	1.16
지원금	38955	951	3	1	1.16
커뮤니티	38955	951	3	1	1.16
타인의	38955	951	3	1	1.16
곳이다	38955	951	3	1	1.16
청소년쉼터	38955	951	3	1	1.16
생활하는	38955	951	3	1	1.16
실패한	38955	951	3	1	1.16
기억이	38955	951	3	1	1.16
머무는	38955	951	3	1	1.16
확인됐다	38955	951	3	1	1.16
장애인복지시설	38955	951	3	1	1.16
한층	38955	951	3	1	1.16
쉽지	38955	951	3	1	1.16
외	38955	951	3	1	1.16
현실과	38955	951	3	1	1.16
지식	38955	951	3	1	1.16
성장동력	38955	951	3	1	1.16
늘었다	38955	951	3	1	1.16
늘어난	38955	951	3	1	1.16
현실을	38955	951	3	1	1.16
당장	38955	951	3	1	1.16
퇴소한	38955	951	3	1	1.16
상담과	38955	951	3	1	1.16
꼽힌다	38955	951	3	1	1.16
대표는	38955	951	3	1	1.16
지나치게	38955	951	3	1	1.16
내용이	38955	951	3	1	1.16
홀로서기에	38955	951	3	1	1.16
진행하는	38955	951	3	1	1.16
이성남	38955	951	3	1	1.16
개념을	38955	951	3	1	1.16
교육은	38955	951	3	1	1.16
보고서	38955	951	3	1	1.16
닿지	38955	951	3	1	1.16
자립수준평가	38955	951	3	1	1.16
전문성	38955	951	3	1	1.16
기관과	38955	951	3	1	1.16
비중을	38955	951	3	1	1.16
정도로	38955	951	3	1	1.16
살아가고	38955	951	3	1	1.16
생각해	38955	951	3	1	1.16
아	38955	951	3	1	1.16
중요하다고	38955	951	3	1	1.16
그게	38955	951	3	1	1.16
같습니다	38955	951	3	1	1.16
대구시는	38955	951	3	1	1.16
2010	38955	951	3	1	1.16
인프라를	38955	951	3	1	1.16
말하는	38955	951	3	1	1.16
지원이	38955	951	20	2	1.14
여러	38955	951	20	2	1.14
제도	38955	951	21	2	1.11
라고	38955	951	21	2	1.11
따르면	38955	951	22	2	1.08
활동	38955	951	22	2	1.08
아닌	38955	951	23	2	1.05
큰	38955	951	23	2	1.05
국가시범도시	38955	951	4	1	1.04
장기적	38955	951	4	1	1.04
높다	38955	951	4	1	1.04
지자체가	38955	951	4	1	1.04
토스뱅크는	38955	951	4	1	1.04
표창	38955	951	4	1	1.04
갖추고	38955	951	4	1	1.04
능력이	38955	951	4	1	1.04
이후에도	38955	951	4	1	1.04
58	38955	951	4	1	1.04
설계된	38955	951	4	1	1.04
점이다	38955	951	4	1	1.04
2027	38955	951	4	1	1.04
포함해	38955	951	4	1	1.04
창의성	38955	951	4	1	1.04
자립준비청년들이	38955	951	4	1	1.04
신수산	38955	951	4	1	1.04
가능성	38955	951	4	1	1.04
사는	38955	951	4	1	1.04
공간이	38955	951	4	1	1.04
의미	38955	951	4	1	1.04
원에서	38955	951	4	1	1.04
문제로	38955	951	4	1	1.04
보육원	38955	951	4	1	1.04
자립준비청년의	38955	951	4	1	1.04
교육이	38955	951	4	1	1.04
아동에게	38955	951	4	1	1.04
질	38955	951	4	1	1.04
지지를	38955	951	4	1	1.04
입을	38955	951	4	1	1.04
지원도	38955	951	4	1	1.04
효과가	38955	951	4	1	1.04
사회에	38955	951	4	1	1.04
발표한	38955	951	4	1	1.04
지역에서	38955	951	4	1	1.04
지원하고	38955	951	4	1	1.04
싶은	38955	951	4	1	1.04
추진	38955	951	24	2	1.02
24	38955	951	24	2	1.02
어떤	38955	951	24	2	1.02
에	38955	951	55	3	0.98
현재	38955	951	26	2	0.97
이와	38955	951	5	1	0.96
장학금	38955	951	5	1	0.96
일환으로	38955	951	5	1	0.96
유공자	38955	951	5	1	0.96
주목받고	38955	951	5	1	0.96
일상생활	38955	951	5	1	0.96
앞둔	38955	951	5	1	0.96
2020	38955	951	5	1	0.96
사이	38955	951	5	1	0.96
프로그램은	38955	951	5	1	0.96
나와서	38955	951	5	1	0.96
밖에	38955	951	5	1	0.96
자립에	38955	951	5	1	0.96
보육	38955	951	5	1	0.96
청년에게	38955	951	5	1	0.96
맞춤	38955	951	5	1	0.96
정책을	38955	951	5	1	0.96
충분히	38955	951	5	1	0.96
중요하다	38955	951	5	1	0.96
아울러	38955	951	5	1	0.96
정서	38955	951	5	1	0.96
바란다	38955	951	5	1	0.96
되어	38955	951	5	1	0.96
거라고	38955	951	5	1	0.96
위한	38955	951	91	4	0.96
또	38955	951	57	3	0.95
넘어	38955	951	27	2	0.95
전	38955	951	27	2	0.95
될	38955	951	27	2	0.95
있는	38955	951	136	5	0.91
심의	38955	951	6	1	0.89
자율성과	38955	951	6	1	0.89
교통	38955	951	6	1	0.89
강화를	38955	951	6	1	0.89
자율성을	38955	951	6	1	0.89
곳	38955	951	6	1	0.89
말	38955	951	6	1	0.89
등은	38955	951	6	1	0.89
실태	38955	951	6	1	0.89
주	38955	951	6	1	0.89
본인의	38955	951	6	1	0.89
억원이	38955	951	6	1	0.89
나온	38955	951	6	1	0.89
나는	38955	951	6	1	0.89
