token	corpus size	all contexts size	frequency	co-frequency	specificity
점검	38955	448	15	6	8.00
야적장	38955	448	4	3	5.22
기술	38955	448	62	7	5.18
physical	38955	448	5	3	4.83
스마트	38955	448	15	4	4.68
처리	38955	448	6	3	4.53
기반	38955	448	38	5	4.17
시민	38955	448	20	4	4.16
로봇	38955	448	22	4	3.99
수준의	38955	448	9	3	3.93
빗자루	38955	448	2	2	3.88
시스템을	38955	448	10	3	3.78
물류	38955	448	13	3	3.41
회계	38955	448	3	2	3.41
공원관리	38955	448	3	2	3.41
준법	38955	448	3	2	3.41
구현해	38955	448	4	2	3.11
위치를	38955	448	4	2	3.11
양산	38955	448	4	2	3.11
농업	38955	448	19	3	2.91
지분법	38955	448	5	2	2.89
uav	38955	448	5	2	2.89
실시간	38955	448	5	2	2.89
센서	38955	448	6	2	2.72
있게	38955	448	7	2	2.58
자립형	38955	448	9	2	2.36
실제	38955	448	32	3	2.27
해	38955	448	10	2	2.27
무인	38955	448	10	2	2.27
인증을	38955	448	10	2	2.27
나노발전기를	38955	448	1	1	1.94
전자기기의	38955	448	1	1	1.94
구동	38955	448	1	1	1.94
운송	38955	448	1	1	1.94
위치추적	38955	448	1	1	1.94
교체	38955	448	1	1	1.94
구동을	38955	448	1	1	1.94
가능케	38955	448	1	1	1.94
허브를	38955	448	1	1	1.94
제공업체인	38955	448	1	1	1.94
성능과	38955	448	1	1	1.94
예로는	38955	448	1	1	1.94
배치된	38955	448	1	1	1.94
트레일러	38955	448	1	1	1.94
빈	38955	448	1	1	1.94
전문가들이	38955	448	1	1	1.94
열린뉴스통신	38955	448	1	1	1.94
김희선	38955	448	1	1	1.94
사내	38955	448	1	1	1.94
봉사단	38955	448	1	1	1.94
apnanums	38955	448	1	1	1.94
삼성화재해상보험에	38955	448	1	1	1.94
논란에	38955	448	1	1	1.94
회계기준원이	38955	448	1	1	1.94
사항으로	38955	448	1	1	1.94
낮다는	38955	448	1	1	1.94
연구진이	38955	448	1	1	1.94
탑재한	38955	448	1	1	1.94
재배	38955	448	1	1	1.94
생육	38955	448	1	1	1.94
개방한	38955	448	1	1	1.94
범어공원	38955	448	1	1	1.94
총연장	38955	448	1	1	1.94
순환산책로	38955	448	1	1	1.94
지점에	38955	448	1	1	1.94
개를	38955	448	1	1	1.94
비치해	38955	448	1	1	1.94
공원을	38955	448	1	1	1.94
공원에도	38955	448	1	1	1.94
확산하겠다	38955	448	1	1	1.94
친환경에너지마을	38955	448	1	1	1.94
신재생에너지보급	38955	448	1	1	1.94
융복합지원	38955	448	1	1	1.94
주택지원사업을	38955	448	1	1	1.94
에너지자립마을도	38955	448	1	1	1.94
받도록	38955	448	1	1	1.94
마을단위	38955	448	1	1	1.94
자립마을	38955	448	1	1	1.94
