token	corpus size	all contexts size	frequency	co-frequency	specificity
öğreniminde	210622	1929	10	9	17.36
sözcüğü	210622	1929	15	8	12.53
yapay	210622	1929	65	12	12.08
otonomi	210622	1929	151	16	11.99
zeka	210622	1929	28	9	11.59
muhtariyet	210622	1929	10	6	9.93
dil	210622	1929	88	11	9.23
karar	210622	1929	90	11	9.13
öğrenme	210622	1929	38	8	8.74
nomos	210622	1929	5	4	7.46
geleceğin	210622	1929	22	6	7.42
verme	210622	1929	23	6	7.30
bireyin	210622	1929	23	6	7.30
otonom	210622	1929	103	9	6.33
ya	210622	1929	211	12	6.19
kendi	210622	1929	255	13	6.12
yetenekleriyle	210622	1929	3	3	6.12
sunacağını	210622	1929	3	3	6.12
kelimelerinin	210622	1929	3	3	6.12
sözcüğünden	210622	1929	9	4	6.07
proleter	210622	1929	9	4	6.07
operasyonel	210622	1929	22	5	5.84
kavramı	210622	1929	23	5	5.74
ve	210622	1929	5425	83	5.55
projelere	210622	1929	4	3	5.52
bir	210622	1929	2899	52	5.50
yüksek	210622	1929	135	9	5.36
gönüllü	210622	1929	13	4	5.34
kabiliyetleri	210622	1929	5	3	5.12
durumdan	210622	1929	5	3	5.12
deyişle	210622	1929	5	3	5.12
konularında	210622	1929	6	3	4.83
alanlarındaki	210622	1929	7	3	4.59
reddeden	210622	1929	7	3	4.59
sahip	210622	1929	175	9	4.48
harp	210622	1929	23	4	4.28
komuta-kontrol	210622	1929	9	3	4.21
asistanlı	210622	1929	9	3	4.21
kelimesi	210622	1929	9	3	4.21
afrika’ya	210622	1929	2	2	4.08
sualtı	210622	1929	2	2	4.08
c-arf	210622	1929	2	2	4.08
kabiliyetleriyle	210622	1929	2	2	4.08
yedeklilik	210622	1929	2	2	4.08
türkçedeki	210622	1929	2	2	4.08
eskimiş	210622	1929	2	2	4.08
türetilmişken	210622	1929	2	2	4.08
görselleştirildi	210622	1929	2	2	4.08
manası	210622	1929	2	2	4.08
kılmak	210622	1929	2	2	4.08
ruh	210622	1929	2	2	4.08
sağlığı	210622	1929	2	2	4.08
birey	210622	1929	26	4	4.07
getiren	210622	1929	10	3	4.06
kelime	210622	1929	11	3	3.93
özellikle	210622	1929	167	8	3.84
sistemler	210622	1929	30	4	3.82
ünal	210622	1929	13	3	3.70
kelimeler	210622	1929	13	3	3.70
siber	210622	1929	13	3	3.70
sayesinde	210622	1929	33	4	3.66
bağımsız	210622	1929	135	7	3.64
mısır’ı	210622	1929	3	2	3.60
havelsan'ın	210622	1929	3	2	3.60
bilgisayarları	210622	1929	3	2	3.60
salonu	210622	1929	3	2	3.60
derslerinde	210622	1929	3	2	3.60
kaptanı	210622	1929	3	2	3.60
kullanıcıyla	210622	1929	3	2	3.60
iyileştirmeler	210622	1929	3	2	3.60
grekçe	210622	1929	3	2	3.60
katılım	210622	1929	3	2	3.60
autonomie	210622	1929	3	2	3.60
yasalarını	210622	1929	3	2	3.60
hipersonik	210622	1929	3	2	3.60
kavramından	210622	1929	3	2	3.60
ister	210622	1929	3	2	3.60
muhtar	210622	1929	14	3	3.60
nedir	210622	1929	14	3	3.60
dolayısıyla	210622	1929	35	4	3.56
zek	210622	1929	36	4	3.51
özellikleri	210622	1929	15	3	3.51
değil	210622	1929	102	6	3.49
kritik	210622	1929	39	4	3.38
fabrika	210622	1929	4	2	3.31
özelinde	210622	1929	4	2	3.31
sınıfların	210622	1929	4	2	3.31
mos	210622	1929	4	2	3.31
koyan	210622	1929	4	2	3.31
alanlarına	210622	1929	4	2	3.31
sezgisel	210622	1929	4	2	3.31
kendine	210622	1929	41	4	3.30
basic	210622	1929	18	3	3.26
olarak	210622	1929	1138	22	3.22
için	210622	1929	772	17	3.21
katkı	210622	1929	19	3	3.19
dile	210622	1929	20	3	3.13
dünyasında	210622	1929	5	2	3.09
hiyerarşiyi	210622	1929	5	2	3.09
sürü	210622	1929	21	3	3.06
bireylerin	210622	1929	23	3	2.95
dışarıdan	210622	1929	6	2	2.92
etkinlik	210622	1929	6	2	2.92
autonom	210622	1929	6	2	2.92
kısaca	210622	1929	6	2	2.92
kavramını	210622	1929	6	2	2.92
hayat	210622	1929	7	2	2.77
takım	210622	1929	7	2	2.77
sözcük	210622	1929	7	2	2.77
aut	210622	1929	7	2	2.77
yoktu	210622	1929	7	2	2.77
bahsetmek	210622	1929	7	2	2.77
gelişmiş	210622	1929	27	3	2.74
stm	210622	1929	27	3	2.74
bireysel	210622	1929	27	3	2.74
kişi	210622	1929	101	5	2.68
seviyesi	210622	1929	8	2	2.65
bilinçli	210622	1929	8	2	2.65
gerekirse	210622	1929	8	2	2.65
güçlerini	210622	1929	8	2	2.65
hareket	210622	1929	104	5	2.62
alanı	210622	1929	30	3	2.61
kendini	210622	1929	64	4	2.59
harfi	210622	1929	9	2	2.55
i̇nsansız	210622	1929	9	2	2.55
kavramının	210622	1929	9	2	2.55
robotik	210622	1929	32	3	2.54
başka	210622	1929	68	4	2.50
kullanılan	210622	1929	34	3	2.46
kavramlar	210622	1929	10	2	2.46
yürütülen	210622	1929	10	2	2.46
yunanca	210622	1929	10	2	2.46
özerklik	210622	1929	285	8	2.42
vermiş	210622	1929	11	2	2.37
fiziksel	210622	1929	11	2	2.37
tasarım	210622	1929	11	2	2.37
içi	210622	1929	11	2	2.37
auton	210622	1929	11	2	2.37
taşır	210622	1929	11	2	2.37
önemi	210622	1929	11	2	2.37
sistemlerin	210622	1929	12	2	2.30
yapısını	210622	1929	14	2	2.17
vererek	210622	1929	14	2	2.17
