token	corpus size	all contexts size	frequency	co-frequency	specificity
yerel	210622	4076	232	54	40.70
yönetimler	210622	4076	52	26	30.10
avrupa	210622	4076	212	33	19.41
şartı	210622	4076	16	11	15.25
özerklik	210622	4076	285	32	14.66
demokratik	210622	4076	135	22	13.64
ya	210622	4076	211	24	11.33
şartının	210622	4076	9	7	10.46
statüsü	210622	4076	27	10	10.36
bölgesel	210622	4076	99	15	9.09
günü	210622	4076	38	9	7.46
ile	210622	4076	963	45	7.19
bölücü	210622	4076	13	6	7.11
mali	210622	4076	32	8	6.89
için	210622	4076	772	38	6.75
yönetimlerin	210622	4076	47	9	6.61
ulus	210622	4076	67	10	6.23
land'ın	210622	4076	5	4	6.16
işbirlikçi	210622	4076	5	4	6.16
birliği	210622	4076	69	10	6.11
öz	210622	4076	28	7	6.10
uygulamaları	210622	4076	11	5	5.95
galiçya	210622	4076	20	6	5.81
güçlendirilmesi	210622	4076	6	4	5.69
belirlenmiş	210622	4076	21	6	5.67
sekel	210622	4076	13	5	5.53
bir	210622	4076	2899	91	5.49
kavramı	210622	4076	23	6	5.42
şartı'nın	210622	4076	3	3	5.14
maddesinin	210622	4076	3	3	5.14
mandacı	210622	4076	3	3	5.14
çevrelerin	210622	4076	3	3	5.14
oyununa	210622	4076	3	3	5.14
idari	210622	4076	70	9	5.13
üniversitelere	210622	4076	8	4	5.04
işlerini	210622	4076	8	4	5.04
anlaşması	210622	4076	9	4	4.80
söz	210622	4076	44	7	4.73
üzerinden	210622	4076	45	7	4.66
isteyen	210622	4076	31	6	4.63
ve	210622	4076	5425	145	4.58
statüleri	210622	4076	4	3	4.55
masum	210622	4076	4	3	4.55
özgürlük	210622	4076	47	7	4.54
doğrultusunda	210622	4076	47	7	4.54
verilmiş	210622	4076	11	4	4.39
görülmektedir	210622	4076	21	5	4.39
açısından	210622	4076	69	8	4.30
üniversitelerin	210622	4076	22	5	4.29
macar	210622	4076	22	5	4.29
da	210622	4076	897	35	4.25
farklılıkların	210622	4076	5	3	4.16
projesini	210622	4076	5	3	4.16
statüsünün	210622	4076	5	3	4.16
bayrak	210622	4076	13	4	4.08
