token	corpus size	all contexts size	frequency	co-frequency	specificity
자율	2598	1545	41	41	9.35
에너지자립마을	2598	1545	20	20	4.54
ai	2598	1545	13	13	2.94
자율형	2598	1545	12	12	2.72
‘에너지자립마을	2598	1545	11	11	2.49
자율인증	2598	1545	10	10	2.26
자율규제	2598	1545	10	10	2.26
기술	2598	1545	17	15	2.04
자율주행차	2598	1545	9	9	2.04
기반	2598	1545	9	9	2.04
에너지	2598	1545	9	9	2.04
자율성을	2598	1545	8	8	1.81
자율인증제	2598	1545	8	8	1.81
자율협의회	2598	1545	7	7	1.58
자율방범대	2598	1545	7	7	1.58
자율적인	2598	1545	6	6	1.36
2026	2598	1545	6	6	1.36
자율준수	2598	1545	6	6	1.36
자율점검표	2598	1545	6	6	1.36
수산업	2598	1545	6	6	1.36
자율비행	2598	1545	6	6	1.36
자율방재단연합회	2598	1545	6	6	1.36
등	2598	1545	5	5	1.13
와	2598	1545	5	5	1.13
자율성	2598	1545	5	5	1.13
사내	2598	1545	5	5	1.13
봉사단	2598	1545	5	5	1.13
자율성이	2598	1545	5	5	1.13
‘자립형	2598	1545	5	5	1.13
전략적	2598	1545	5	5	1.13
자율학습	2598	1545	5	5	1.13
의지선언	2598	1545	5	5	1.13
지원에	2598	1545	5	5	1.13
자율관리어업	2598	1545	5	5	1.13
자율규약도	2598	1545	5	5	1.13
자립형	2598	1545	11	9	1.08
자율주행	2598	1545	10	8	0.94
농어촌	2598	1545	4	4	0.90
자율학교	2598	1545	4	4	0.90
자율좌석제	2598	1545	4	4	0.90
자율적	2598	1545	4	4	0.90
동맹’으로	2598	1545	4	4	0.90
소집	2598	1545	4	4	0.90
자율활동	2598	1545	4	4	0.90
청년개발자신문단	2598	1545	4	4	0.90
에이전트개발	2598	1545	4	4	0.90
프롬프트체이닝	2598	1545	4	4	0.90
밑바닥부터배우는	2598	1545	4	4	0.90
파이썬	2598	1545	4	4	0.90
길벗출판사	2598	1545	4	4	0.90
자율과제	2598	1545	4	4	0.90
공정거래	2598	1545	4	4	0.90
자율점검	2598	1545	4	4	0.90
비산배출시설	2598	1545	4	4	0.90
서식	2598	1545	4	4	0.90
hwpx	2598	1545	4	4	0.90
사립고	2598	1545	4	4	0.90
‘에너지자립	2598	1545	4	4	0.90
자강의	2598	1545	4	4	0.90
쿠팡	2598	1545	4	4	0.90
자본	2598	1545	4	4	0.90
점검	2598	1545	4	4	0.90
자율성과	2598	1545	7	6	0.90
학교자율과제	2598	1545	6	5	0.74
따라	2598	1545	6	5	0.74
지원	2598	1545	15	10	0.74
자율적으로	2598	1545	8	6	0.69
中	2598	1545	3	3	0.68
가속화…	2598	1545	3	3	0.68
지역	2598	1545	3	3	0.68
신재생에너지	2598	1545	3	3	0.68
구동	2598	1545	3	3	0.68
복지	2598	1545	3	3	0.68
활동을	2598	1545	3	3	0.68
자율지능모듈	2598	1545	3	3	0.68
메이드	2598	1545	3	3	0.68
연임	2598	1545	3	3	0.68
자율화로	2598	1545	3	3	0.68
학교	2598	1545	3	3	0.68
농업	2598	1545	3	3	0.68
워크숍	2598	1545	3	3	0.68
태서자율방범대	2598	1545	3	3	0.68
향한	2598	1545	3	3	0.68
자율고	2598	1545	3	3	0.68
압박에	2598	1545	3	3	0.68
자율성은	2598	1545	3	3	0.68
vs	2598	1545	3	3	0.68
에너지자립마을로	2598	1545	3	3	0.68
자율인증제도’에	2598	1545	3	3	0.68
개인정보보호	2598	1545	3	3	0.68
자율공시	2598	1545	3	3	0.68
날개	2598	1545	3	3	0.68
청년농업인	2598	1545	3	3	0.68
기반을	2598	1545	3	3	0.68
자율인증제를	2598	1545	3	3	0.68
특수교육	2598	1545	3	3	0.68
‘대구시	2598	1545	3	3	0.68
선언…	2598	1545	3	3	0.68
‘용인시	2598	1545	3	3	0.68
패널	2598	1545	3	3	0.68
“자본	2598	1545	3	3	0.68
자율화를	2598	1545	3	3	0.68
어렵지…과태료	2598	1545	3	3	0.68
‘무용지물’	2598	1545	3	3	0.68
cp	2598	1545	3	3	0.68
위한	2598	1545	11	7	0.63
자립과	2598	1545	9	6	0.61
이	2598	1545	9	6	0.61
자립준비	2598	1545	9	5	0.60
및	2598	1545	8	5	0.56
5	2598	1545	7	4	0.53
생활을	2598	1545	6	4	0.51
진정한	2598	1545	6	4	0.51
재정자립도	2598	1545	6	4	0.51
조성	2598	1545	4	3	0.47
사회적	2598	1545	4	3	0.47
년	2598	1545	4	3	0.47
운영	2598	1545	4	3	0.47
경제적	2598	1545	4	3	0.47
통장자율회	2598	1545	4	2	0.46
자활	2598	1545	4	2	0.46
시	2598	1545	4	2	0.46
중국	2598	1545	2	2	0.45
스타트업	2598	1545	2	2	0.45
자율주행차는	2598	1545	2	2	0.45
기술로	2598	1545	2	2	0.45
무인자율주행	2598	1545	2	2	0.45
진출	2598	1545	2	2	0.45
“‘재생에너지	2598	1545	2	2	0.45
신도시	2598	1545	2	2	0.45
975	2598	1545	2	2	0.45
억원	2598	1545	2	2	0.45
자동차	2598	1545	2	2	0.45
완전자율운항선박	2598	1545	2	2	0.45
있어	2598	1545	2	2	0.45
이끄는	2598	1545	2	2	0.45
참여를	2598	1545	2	2	0.45
실질적인	2598	1545	2	2	0.45
교체없는	2598	1545	2	2	0.45
헬스케어	2598	1545	2	2	0.45
사용할	2598	1545	2	2	0.45
성장과	2598	1545	2	2	0.45
자립적이고	2598	1545	2	2	0.45
앞나눔즈	2598	1545	2	2	0.45
청년에	2598	1545	2	2	0.45
모집	2598	1545	2	2	0.45
공립고	2598	1545	2	2	0.45
모집형	2598	1545	2	2	0.45
공립고로	2598	1545	2	2	0.45
판단	2598	1545	2	2	0.45
자율중학교이자	2598	1545	2	2	0.45
2005	2598	1545	2	2	0.45
지정	2598	1545	2	2	0.45
자율학교의	2598	1545	2	2	0.45
대표	2598	1545	2	2	0.45
화산중학교	2598	1545	2	2	0.45
동아리	2598	1545	2	2	0.45
엣지	2598	1545	2	2	0.45
핵심기술	2598	1545	2	2	0.45
나선다	2598	1545	2	2	0.45
자립률	2598	1545	2	2	0.45
갖는	2598	1545	2	2	0.45
디지털	2598	1545	2	2	0.45
탑재한	2598	1545	2	2	0.45
시민	2598	1545	2	2	0.45
이렇게	2598	1545	2	2	0.45
여전히	2598	1545	2	2	0.45
속에서	2598	1545	2	2	0.45
자율차	2598	1545	2	2	0.45
로봇시대	2598	1545	2	2	0.45
이끌	2598	1545	2	2	0.45
로	2598	1545	2	2	0.45
방순옥	2598	1545	2	2	0.45
2025	2598	1545	2	2	0.45
자율과제가	2598	1545	2	2	0.45
사랑의	2598	1545	2	2	0.45
button	2598	1545	2	2	0.45
①자율을	2598	1545	2	2	0.45
자립은	2598	1545	2	2	0.45
재정	2598	1545	2	2	0.45
스스로	2598	1545	2	2	0.45
자립형사립고	2598	1545	2	2	0.45
자사고	2598	1545	2	2	0.45
자율형사립고	2598	1545	2	2	0.45
