item	total	count part-1	specif part-1	count part-2	specif part-2
	25221		16314		8907
і	727	474	1.52	253	-1.52
ў	467	369	11.43	98	-11.43
у	433	290	1.61	143	-1.61
на	364	225	-1.65	139	1.65
з	360	183	-7.75	177	7.75
што	295	199	1.52	96	-1.52
аўтаноміі	232	226	34.38	6	-34.38
аўтаномнасць	212	8	-80.41	204	80.41
аўтаномія	207	204	33.98	3	-33.98
не	187	123	1.23	64	-1.23
для	180	100	-2.61	80	2.61
да	158	98	-1.29	60	1.29
гэта	157	95	-1.44	62	1.44
як	142	92	1.15	50	1.15
аўтаномію	116	111	15.10	5	-15.10
за	109	74	1.20	35	-1.20
км	97	22	-16.59	75	16.59
а	96	67	1.30	29	-1.30
беларусі	95	86	8.29	9	-8.29
па	90	42	-3.72	48	3.72
ад	89	50	-1.67	39	1.67
яго	88	37	-5.13	51	5.13
ці	83	63	2.05	20	-2.05
калі	80	54	1.08	26	-1.08
які	79	37	-3.33	42	3.33
якія	76	51	1.06	25	-1.06
але	76	42	-1.66	34	1.66
больш	72	29	-4.88	43	4.88
аўтаномнасці	72	6	-22.84	66	22.84
таксама	70	36	-2.15	34	2.15
будзе	66	28	-3.95	38	3.95
мы	64	37	-1.28	27	1.28
іх	62	38	-1.05	24	1.05
г	59	31	-1.78	28	1.78
толькі	57	36	-0.97	21	0.97
можа	55	28	-1.92	27	1.92
так	53	32	-1.04	21	1.04
якая	53	27	-1.87	26	1.87
яны	52	36	1.03	16	-1.03
квт	50	16	-5.71	34	5.71
ён	50	24	-2.21	26	2.21
яе	49	31	-0.94	18	0.94
каб	49	35	1.12	14	-1.12
пры	48	25	-1.64	23	1.64
2	45	23	-1.68	22	1.68
годзе	45	35	1.64	10	-1.64
быў	44	33	1.33	11	-1.33
час	43	29	0.92	14	-0.92
беларусаў	43	38	3.47	5	-3.47
пра	42	36	2.81	6	-2.81
было	42	34	1.98	8	-1.98
аб	42	34	1.98	8	-1.98
яшчэ	42	20	-2.02	22	2.02
чым	42	15	-4.05	27	4.05
мае	41	20	-1.85	21	1.85
была	41	37	3.81	4	-3.81
расіі	40	39	6.24	1	-6.24
года	40	28	0.97	12	-0.97
гэтага	40	23	-1.09	17	1.09
беларускай	40	34	2.56	6	-2.56
іншых	39	35	3.52	4	-3.52
яна	39	23	-1.01	16	1.01
wltp	39	9	-6.95	30	6.95
ж	38	28	1.14	10	-1.14
вельмі	38	27	1.00	11	-1.00
гэтым	38	22	-1.05	16	1.05
або	37	20	-1.27	17	1.27
нават	36	17	-1.87	19	1.87
таго	36	24	0.87	12	-0.87
тым	36	29	1.73	7	-1.73
кіламетраў	36	14	-3.02	22	3.02
чынам	36	16	-2.21	20	2.21
tesla	36	2	-12.96	34	12.96
б	34	26	1.28	8	-1.28
таму	33	15	-1.96	18	1.96
былі	33	29	2.69	4	-2.69
акумулятар	32	10	-4.03	22	4.03
аднак	31	19	-0.87	12	0.87
батарэі	31	7	-5.76	24	5.76
складзе	30	26	2.29	4	-2.29
гэтай	30	12	-2.47	18	2.47
нацыянальных	29	28	4.29	1	-4.29
4	29	7	-5.08	22	5.08
быць	29	14	-1.54	15	1.54
тое	29	16	-1.07	13	1.07
гэты	28	15	-1.14	13	1.14
той	28	20	0.91	8	-0.91
такім	28	9	-3.45	19	3.45
сваю	27	12	-1.81	15	1.81
некалькі	27	12	-1.81	15	1.81
з'яўляецца	27	11	-2.20	16	2.20
нацыянальна-культурная	26	26	4.92	0	-4.92
электрамабіляў	26	6	-4.82	20	4.82
павялічыць	26	3	-7.56	23	7.56
краіны	25	24	3.60	1	-3.60
сілезіі	25	25	4.73	0	-4.73
кошт	25	7	-3.78	18	3.78
такое	25	24	3.60	1	-3.60
1	25	15	-0.84	10	0.84
расеі	25	25	4.73	0	-4.73
мець	24	16	0.78	8	0.78
царквы	24	12	-1.26	12	1.26
ёмістасці	24	7	-3.47	17	3.47
ёсць	24	14	-0.88	10	0.88
якой	23	12	-1.11	11	1.11
ня	23	22	3.25	1	-3.25
1917	23	23	4.35	0	-4.35
версіі	23	1	-8.78	22	8.78
выпадку	22	10	-1.51	12	1.51
ні	22	19	1.76	3	-1.76
hyundai	22	1	-8.35	21	8.35
улады	21	21	3.98	0	-3.98
кіравання	21	16	0.98	5	-0.98
павінна	21	13	-0.77	8	0.77
трэба	21	16	0.98	5	-0.98
