item	total	count part-1	specif part-1	count part-2	specif part-2
	28925		11768		17157
자립	500	14	-90.07	486	90.07
자율	295	285	96.36	10	-96.36
및	179	58	-2.34	121	2.34
수	170	57	-1.99	113	1.99
등	155	67	1.28	88	-1.28
있다	122	57	1.54	65	-1.54
지원	121	17	-9.92	104	9.92
1	120	37	-2.19	83	2.19
년	113	27	-4.14	86	4.14
일	109	68	5.63	41	-5.63
있는	106	43	1.10	63	1.10
위한	100	46	1.35	54	-1.35
이	93	40	1.12	53	-1.12
통해	92	37	1.07	55	1.07
2	88	38	1.12	50	-1.12
을	83	29	-1.29	54	1.29
위해	81	40	1.60	41	-1.60
5	79	11	-6.78	68	6.78
만	79	18	-3.43	61	3.43
장애인	78	4	-12.22	74	12.22
밝혔다	76	52	6.19	24	-6.19
보호	71	3	-11.86	68	11.86
함께	67	35	1.80	32	-1.80
자립지원	67	0	-15.22	67	15.22
는	66	34	1.69	32	-1.69
대한	66	24	-1.10	42	1.10
를	65	28	1.03	37	-1.03
자립준비청년	65	0	-14.77	65	14.77
3	60	27	1.09	33	-1.09
월	60	26	1.02	34	-1.02
에	60	25	0.99	35	-0.99
에너지	59	9	-4.76	50	4.76
ai	59	53	14.43	6	-14.43
또	58	15	-2.14	43	2.14
이번	58	44	7.37	14	-7.37
고	57	26	1.10	31	-1.10
따라	57	20	-1.12	37	1.12
의	56	24	0.99	32	-0.99
있도록	55	20	-1.05	35	1.05
개	53	22	0.96	31	-0.96
지난	50	14	-1.66	36	1.66
등을	49	21	0.96	28	-0.96
제	49	3	-7.35	46	7.35
다양한	48	18	-0.97	30	0.97
이후	45	7	-3.70	38	3.70
보호종료	45	0	-10.22	45	10.22
교육	44	11	-1.90	33	1.90
세	44	2	-7.34	42	7.34
대상	43	7	-3.39	36	3.39
억원	43	26	2.39	17	-2.39
기자	42	22	1.42	20	-1.42
시	42	23	1.64	19	-1.64
에너지자립마을	42	17	0.90	25	0.90
아동	41	1	-7.86	40	7.86
명	41	3	-5.77	38	5.77
한	40	18	0.97	22	-0.97
회	40	4	-4.77	36	4.77
경제적	40	1	-7.64	39	7.64
운영	39	27	3.68	12	-3.68
말했다	39	13	-1.07	26	1.07
지원을	39	10	-1.68	29	1.68
있습니다	39	12	-1.22	27	1.22
후	39	4	-4.59	35	4.59
며	38	17	0.94	21	-0.94
조	37	6	-3.01	31	3.01
종료	37	0	-8.40	37	8.40
기술	36	22	2.19	14	-2.19
것이	36	7	-2.39	29	2.39
은	36	12	-1.03	24	1.03
직접	35	12	-0.98	23	0.98
사회적	35	6	-2.71	29	2.71
것	35	11	-1.12	24	1.12
필요한	34	4	-3.70	30	3.70
cp	34	34	13.29	0	-13.29
전국	33	18	1.42	15	-1.42
