token,corpus size,all contexts size,frequency,co-frequency,specificity
자립,2595,1947,90,89,9.96
자립생활,2595,1947,34,34,4.27
자립준비청년,2595,1947,27,27,3.39
자립지원,2595,1947,27,27,3.39
자립을,2595,1947,25,25,3.14
대구사람장애인자립생활센터,2595,1947,16,16,2.00
자립의,2595,1947,13,13,1.63
사무국장,2595,1947,13,13,1.63
장애인,2595,1947,19,18,1.58
자립형,2595,1947,11,11,1.38
자립생활을,2595,1947,11,11,1.38
위한,2595,1947,11,11,1.38
자립과,2595,1947,9,9,1.12
자립이,2595,1947,9,9,1.12
에너지,2595,1947,9,9,1.12
자립준비,2595,1947,9,9,1.12
위해서는,2595,1947,8,8,1.00
자율형,2595,1947,12,11,0.90
자율성을,2595,1947,6,6,0.75
생활을,2595,1947,6,6,0.75
어려운,2595,1947,6,6,0.75
사회,2595,1947,6,6,0.75
자율적인,2595,1947,6,6,0.75
자립준비청년의,2595,1947,6,6,0.75
진정한,2595,1947,6,6,0.75
수산업,2595,1947,6,6,0.75
자립생활의,2595,1947,6,6,0.75
기술,2595,1947,17,14,0.72
자율주행,2595,1947,15,12,0.65
지원,2595,1947,15,12,0.65
장애인의,2595,1947,5,5,0.62
사내,2595,1947,5,5,0.62
봉사단,2595,1947,5,5,0.62
후,2595,1947,5,5,0.62
대상,2595,1947,5,5,0.62
월,2595,1947,5,5,0.62
자립정착금,2595,1947,5,5,0.62
장애인자립,2595,1947,5,5,0.62
나의,2595,1947,5,5,0.62
여성,2595,1947,5,5,0.62
자립준비청년들의,2595,1947,5,5,0.62
자립지원관,2595,1947,5,5,0.62
자립지원관을,2595,1947,5,5,0.62
농협중앙회,2595,1947,5,5,0.62
자립경영,2595,1947,5,5,0.62
지역사회,2595,1947,5,5,0.62
자율관리어업,2595,1947,5,5,0.62
자립지도,2595,1947,5,5,0.62
자립에,2595,1947,5,5,0.62
자율적으로,2595,1947,8,7,0.57
통해,2595,1947,8,7,0.57
조성,2595,1947,4,4,0.50
동맹’으로,2595,1947,4,4,0.50
경제적,2595,1947,4,4,0.50
아동보호자립,2595,1947,4,4,0.50
주거환경개선,2595,1947,4,4,0.50
복지정책,2595,1947,4,4,0.50
사회복지공동모금회,2595,1947,4,4,0.50
배리어프리하우징,2595,1947,4,4,0.50
삶의질향상,2595,1947,4,4,0.50
장애인시설,2595,1947,4,4,0.50
맞춤형지원,2595,1947,4,4,0.50
포용,2595,1947,4,4,0.50
지역사회통합,2595,1947,4,4,0.50
복지사업,2595,1947,4,4,0.50
안전주거,2595,1947,4,4,0.50
생활개선사업,2595,1947,4,4,0.50
경기사회복지,2595,1947,4,4,0.50
복지네트워크,2595,1947,4,4,0.50
공공복지혁신,2595,1947,4,4,0.50
자립기반,2595,1947,4,4,0.50
사립고,2595,1947,4,4,0.50
자립준비청년들이,2595,1947,4,4,0.50
주우진,2595,1947,4,4,0.50
은,2595,1947,4,4,0.50
‘에너지자립,2595,1947,4,4,0.50
자립준비청년을,2595,1947,4,4,0.50
자강의,2595,1947,4,4,0.50
자활,2595,1947,4,4,0.50
맥락에서,2595,1947,4,4,0.50
1,2595,1947,6,5,0.45
등,2595,1947,5,4,0.40
와,2595,1947,5,4,0.40
자율성,2595,1947,5,4,0.40
전략적,2595,1947,5,4,0.40
‘자립형,2595,1947,5,4,0.40
가속화…,2595,1947,3,3,0.37
‘재생에너지,2595,1947,3,3,0.37
신재생에너지,2595,1947,3,3,0.37
사회적,2595,1947,4,3,0.37
자립적인,2595,1947,3,3,0.37
구동,2595,1947,3,3,0.37
주차,2595,1947,3,3,0.37
역량,2595,1947,3,3,0.37
복지,2595,1947,3,3,0.37
운영,2595,1947,4,3,0.37
전기,2595,1947,3,3,0.37
실험시설,2595,1947,3,3,0.37
장애인자립기반,2595,1947,3,3,0.37
조,2595,1947,3,3,0.37
제,2595,1947,3,3,0.37
2,2595,1947,3,3,0.37
자립지원을,2595,1947,3,3,0.37
자립수당,2595,1947,3,3,0.37
시,2595,1947,4,3,0.37
페스타,2595,1947,3,3,0.37
20,2595,1947,3,3,0.37
통장자율회,2595,1947,4,3,0.37
장애인복지,2595,1947,4,3,0.37
경기도누림센터,2595,1947,4,3,0.37
‘지역사회,2595,1947,3,3,0.37
자립지원네트워크,2595,1947,3,3,0.37
활동,2595,1947,3,3,0.37
실현하는,2595,1947,3,3,0.37
자립멘토들의,2595,1947,3,3,0.37
충남중증장애인자립생활센터,2595,1947,3,3,0.37
향한,2595,1947,3,3,0.37
500,2595,1947,3,3,0.37
자립’,2595,1947,3,3,0.37
역량을,2595,1947,3,3,0.37
더,2595,1947,3,3,0.37
지원을,2595,1947,3,3,0.37
돕는,2595,1947,3,3,0.37
역시,2595,1947,3,3,0.37
구축과,2595,1947,3,3,0.37
장애인자립지원협의체’를,2595,1947,3,3,0.37
실효적인,2595,1947,3,3,0.37
정책,2595,1947,3,3,0.37
자율고,2595,1947,3,3,0.37
‘자립준비청년협회’,2595,1947,3,3,0.37
자립수당이,2595,1947,3,3,0.37
압박에,2595,1947,3,3,0.37
vs,2595,1947,3,3,0.37
개인정보보호,2595,1947,3,3,0.37
자율공시,2595,1947,3,3,0.37
날개,2595,1947,3,3,0.37
청년농업인,2595,1947,3,3,0.37
대상자,2595,1947,3,3,0.37
기반을,2595,1947,3,3,0.37
자립수준평가,2595,1947,3,3,0.37
특수교육,2595,1947,3,3,0.37
자립생활이,2595,1947,3,3,0.37
권리를,2595,1947,3,3,0.37
반도체,2595,1947,3,3,0.37
선언…,2595,1947,3,3,0.37
년,2595,1947,4,3,0.37
군기잡은,2595,1947,3,3,0.37
패널,2595,1947,3,3,0.37
전근배,2595,1947,3,3,0.37
대구사람장애인자립생활센터가,2595,1947,3,3,0.37
탈시설,2595,1947,3,3,0.37
자율주행차는,2595,1947,2,2,0.25
기술로,2595,1947,2,2,0.25
“‘재생에너지,2595,1947,2,2,0.25
신도시,2595,1947,2,2,0.25
특별법’,2595,1947,2,2,0.25
신도시’를,2595,1947,2,2,0.25
내,2595,1947,2,2,0.25
975,2595,1947,2,2,0.25
억원,2595,1947,2,2,0.25
자동차,2595,1947,2,2,0.25
완전자율운항선박,2595,1947,2,2,0.25
있어,2595,1947,2,2,0.25
이끄는,2595,1947,2,2,0.25
넘어,2595,1947,2,2,0.25
실질적인,2595,1947,2,2,0.25
교체없는,2595,1947,2,2,0.25
헬스케어,2595,1947,2,2,0.25
사용할,2595,1947,2,2,0.25
자립적이고,2595,1947,2,2,0.25
시스템,2595,1947,2,2,0.25
hl,2595,1947,2,2,0.25
로보틱스,2595,1947,2,2,0.25
시스코,2595,1947,2,2,0.25
앞나눔즈,2595,1947,2,2,0.25
청년에,2595,1947,2,2,0.25
청년을,2595,1947,2,2,0.25
모집,2595,1947,2,2,0.25
공립고,2595,1947,2,2,0.25
갖는,2595,1947,2,2,0.25
지원…,2595,1947,2,2,0.25
자립모델,2595,1947,2,2,0.25
만들,2595,1947,2,2,0.25
실질적,2595,1947,2,2,0.25
발달장애인,2595,1947,2,2,0.25
곧,2595,1947,2,2,0.25
39,2595,1947,2,2,0.25
자립지원전담기관의,2595,1947,2,2,0.25
40,2595,1947,2,2,0.25
관련,2595,1947,2,2,0.25
자립할,2595,1947,2,2,0.25
수,2595,1947,2,2,0.25
자조모임,2595,1947,2,2,0.25
대상으로,2595,1947,2,2,0.25
디지털,2595,1947,2,2,0.25
로,2595,1947,2,2,0.25
‘남동,2595,1947,2,2,0.25
곳,2595,1947,2,2,0.25
‘자립멘토들의,2595,1947,2,2,0.25
센터장,2595,1947,2,2,0.25
자립이라는,2595,1947,2,2,0.25
①자율을,2595,1947,2,2,0.25
재정,2595,1947,2,2,0.25
자립은,2595,1947,2,2,0.25
스스로,2595,1947,2,2,0.25
‘관계적,2595,1947,2,2,0.25
자립준비청년에,2595,1947,2,2,0.25
“여성,2595,1947,2,2,0.25
만원의,2595,1947,2,2,0.25
자립준비청년에게,2595,1947,2,2,0.25
격차,2595,1947,2,2,0.25
‘높은,2595,1947,2,2,0.25
때문에,2595,1947,2,2,0.25
이용이,2595,1947,2,2,0.25
청소년들도,2595,1947,2,2,0.25
자립지원관은,2595,1947,2,2,0.25
지원이,2595,1947,2,2,0.25
전국,2595,1947,2,2,0.25
13,2595,1947,2,2,0.25
주택을,2595,1947,2,2,0.25
어렵다고,2595,1947,2,2,0.25
‘장애인자립지원협의체’,2595,1947,2,2,0.25
구성‥자립기반,2595,1947,2,2,0.25
체계,2595,1947,2,2,0.25
발굴을,2595,1947,2,2,0.25
실태,2595,1947,2,2,0.25
높은,2595,1947,2,2,0.25
금천자립생활페스타”,2595,1947,2,2,0.25
10,2595,1947,2,2,0.25
25,2595,1947,2,2,0.25
자립형사립고,2595,1947,2,2,0.25
자사고,2595,1947,2,2,0.25
자율형사립고,2595,1947,2,2,0.25
아동양육시설,2595,1947,2,2,0.25
자립준비청년협회,2595,1947,2,2,0.25
홈페이지,2595,1947,2,2,0.25
자립준비청년협회는,2595,1947,2,2,0.25
당사자,2595,1947,2,2,0.25
본인의,2595,1947,2,2,0.25
보호종료아동의,2595,1947,2,2,0.25
월에는,2595,1947,2,2,0.25
8,2595,1947,2,2,0.25
마을’,2595,1947,2,2,0.25
자율인증’을,2595,1947,2,2,0.25
자율인증제는,2595,1947,2,2,0.25
높이기,2595,1947,2,2,0.25
자율인증제도’란,2595,1947,2,2,0.25
복지제도,2595,1947,2,2,0.25
사각지대,2595,1947,2,2,0.25
종료된,2595,1947,2,2,0.25
