item	total	count part-1	specif part-1	count part-2	specif part-2
	23684		8030		15654
ve	766	240	-2.02	526	2.02
bir	556	249	7.73	307	-7.73
özerklik	508	32	-50.71	476	50.71
otonomi	301	272	93.85	29	-93.85
bu	272	93	1.29	179	-1.29
olarak	231	93	2.16	138	-2.16
da	185	50	-2.07	135	2.07
yerel	181	3	-27.57	178	27.57
ile	174	47	-2.00	127	2.00
için	156	54	1.18	102	-1.18
de	151	48	-1.22	103	1.22
kendi	129	51	1.53	78	-1.53
değiştir	124	23	-4.19	101	4.19
ya	101	27	-1.57	74	1.57
daha	89	35	1.31	54	-1.31
avrupa	86	0	-15.50	86	15.50
olan	82	35	1.64	47	-1.64
gibi	79	27	1.03	52	1.03
demokratik	73	3	-9.22	70	9.22
özerk	66	4	-7.18	62	7.18
bağımsız	64	30	2.00	34	-2.00
karar	63	42	7.08	21	-7.08
tarafından	62	13	-2.00	49	2.00
kaynağı	61	11	-2.54	50	2.54
yönetimler	61	0	-10.99	61	10.99
özerkliğin	59	0	-10.63	59	10.63
şekilde	53	27	2.37	26	-2.37
1	51	8	-2.69	43	2.69
otonom	51	46	16.17	5	-16.17
özerkliği	51	0	-9.18	51	9.18
türkiye	49	3	-5.42	46	5.42
göre	49	12	-1.33	37	1.33
her	49	10	-1.80	39	1.80
dil	48	35	7.51	13	-7.51
bazı	48	14	-1.01	34	1.01
ortaya	48	16	0.92	32	0.92
veya	47	12	-1.21	35	1.21
olduğu	47	7	-2.69	40	2.69
değildir	46	33	6.84	13	-6.84
en	45	21	1.60	24	-1.60
yeni	44	15	0.90	29	0.90
sahip	43	17	1.04	26	-1.04
olmak	43	26	3.65	17	-3.65
hareket	43	14	0.90	29	0.90
yılında	42	2	-5.20	40	5.20
çok	38	15	0.99	23	-0.99
ancak	37	15	1.03	22	-1.03
yönetimlerin	37	0	-6.66	37	6.66
farklı	36	11	-0.88	25	0.88
idari	36	0	-6.48	36	6.48
temel	35	10	-0.93	25	0.93
içinde	35	4	-2.74	31	2.74
merkezi	34	1	-4.88	33	4.88
büyük	34	13	0.92	21	-0.92
tüm	34	11	0.85	23	0.85
ifade	34	10	-0.90	24	0.90
diğer	33	18	2.14	15	-2.14
sonra	33	13	0.94	20	-0.94
değil	33	20	2.98	13	-2.98
9	32	18	2.30	14	-2.30
2	32	14	1.14	18	-1.14
öğrenme	32	31	13.25	1	-13.25
yönetim	32	4	-2.36	28	2.36
3	31	9	-0.88	22	0.88
te	31	1	-4.38	30	4.38
devlet	31	1	-4.38	30	4.38
karşı	30	10	0.82	20	0.82
üzere	30	18	2.68	12	-2.68
verme	30	20	3.72	10	-3.72
kendini	30	18	2.68	12	-2.68
kabul	30	4	-2.12	26	2.12
birliği	29	1	-4.05	28	4.05
yer	29	8	-0.90	21	0.90
kelimeler	29	29	13.64	0	-13.64
açısından	29	5	-1.59	24	1.59
ilgili	29	4	-2.00	25	2.00
ulus	29	4	-2.00	25	2.00
hem	29	5	-1.59	24	1.59
ise	28	9	0.80	19	0.80
tam	28	10	0.82	18	-0.82
bölgesel	28	1	-3.88	27	3.88
4	28	10	0.82	18	-0.82
ilan	28	5	-1.49	23	1.49
yüksek	27	17	2.86	10	-2.86
etti	27	3	-2.26	24	2.26
eden	27	14	1.61	13	-1.61
akademik	27	1	-3.72	26	3.72
bölge	26	4	-1.66	22	1.66
arasında	26	6	-1.05	20	1.05
kişi	26	12	1.17	14	-1.17
kendine	26	15	2.14	11	-2.14
özgürlük	26	3	-2.13	23	2.13
olması	26	3	-2.13	23	2.13
türk	26	5	-1.31	21	1.31
sadece	25	20	5.57	5	-5.57
ülkenin	25	7	-0.84	18	0.84
bireyin	25	20	5.57	5	-5.57
nedir	25	15	2.33	10	-2.33
anlamına	25	6	-0.99	19	0.99
osmanlı	25	0	-4.50	25	4.50
türkçe	24	20	6.09	4	-6.09
o	24	16	3.09	8	-3.09
görünüm	24	9	0.81	15	-0.81
özellikle	24	15	2.55	9	-2.55
son	24	7	-0.81	17	0.81
ayrıca	24	4	-1.45	20	1.45
iki	24	5	-1.14	19	1.14
tarihi	24	5	-1.14	19	1.14
aynı	23	12	1.48	11	-1.48
5	23	6	-0.87	17	0.87
tarihinde	23	4	-1.35	19	1.35
yerine	23	14	2.28	9	-2.28
siyasi	23	3	-1.76	20	1.76
üzerinden	23	1	-3.07	22	3.07
cumhuriyeti	23	0	-4.14	23	4.14
şartı	23	0	-4.14	23	4.14
geri	22	15	3.08	7	-3.08
fazla	22	4	-1.25	18	1.25
10	22	4	-1.25	18	1.25
demek	22	14	2.51	8	-2.51
hük	22	1	-2.91	21	2.91
dış	22	7	0.75	15	0.75
yapay	21	20	8.26	1	-8.26
genel	21	7	0.74	14	0.74
konusunda	21	7	0.74	14	0.74
ne	21	15	3.39	6	-3.39
otonominin	21	20	8.26	1	-8.26
edildi	21	1	-2.75	20	2.75
mali	21	0	-3.78	21	3.78
günü	21	0	-3.78	21	3.78
statüsü	21	0	-3.78	21	3.78
devletin	20	5	-0.86	15	0.86
sınıf	20	18	6.54	2	-6.54
